entry_timestamp,exit_timestamp,window,hmm_state,setup_quality,setup_quality_bucket,volatility,volatility_percentile,volatility_bucket,pnl_R,pnl_points,exit_reason,holding_bars,past_return_30,past_return_30_quality,directional_pressure_30,directional_pressure_30_quality,close_location_30,close_location_30_quality,normalized_momentum_30,normalized_momentum_30_quality
2025-10-20 12:37:00-04:00,2025-10-20 12:52:00-04:00,4,2,0.3575669074174527,20-40%,0.0011637858042407429,0.2668086694920837,20-40%,-0.6375,-12.75,timeout,15,-0.0010462655633048901,0.10823726721349275,-0.19631134752428642,0.12143277241497141,0.0,1.0,-0.8990190114816504,0.2005975900413466
2025-10-20 14:43:00-04:00,2025-10-20 14:58:00-04:00,4,2,0.8076182650185535,80-100%,0.0005837216002605218,0.04241199850677441,00-20%,-0.4,-8.0,timeout,15,-0.0011819812747539873,0.23047306007421373,-0.43061970473609096,1.0,0.0,1.0,-2.0249058356354386,1.0
2025-10-20 16:08:00-04:00,2025-10-20 16:12:00-04:00,4,2,0.3711275288863805,20-40%,0.0008930199144032349,0.1326906607523222,00-20%,-1.0,-20.0,stop,4,-0.0009385816375070492,0.011249012075537575,-0.2580885017871237,0.534589730478554,0.056910569105691054,0.49815225424981524,-1.051019828750696,0.44051911874161526
2025-10-21 12:58:00-04:00,2025-10-21 13:02:00-04:00,4,2,0.86300141621001,80-100%,0.0012414520248841983,0.3088561452820659,20-40%,1.3,26.0,target,4,-0.0016134319233911257,0.6190700143495753,-0.35813098681790295,1.0,0.0,1.0,-1.2996329226186774,0.8329356504904646
2025-10-21 13:03:00-04:00,2025-10-21 13:07:00-04:00,4,2,1.0,80-100%,0.00137432531905557,0.3767891258042557,20-40%,-1.0,-20.0,stop,4,-0.003013229171966808,1.0,-0.5685545011799639,1.0,0.0,1.0,-2.1925152146927522,1.0
2025-10-22 10:15:00-04:00,2025-10-22 10:18:00-04:00,4,2,0.5953300781478919,40-60%,0.001980124653881562,0.6260919212103911,60-80%,-1.0,-20.0,stop,3,-0.0018927605130969498,0.8706543833720579,-0.2110972022189536,0.2203184983910818,0.0,1.0,-0.9558794742475654,0.2903474308284275
2025-10-22 12:20:00-04:00,2025-10-22 12:22:00-04:00,4,2,0.14114983120095623,00-20%,0.0018094732308326256,0.565620676782538,40-60%,1.3,26.0,target,2,-0.0014305095545868228,0.45431634991374015,-0.18427161339556555,0.0409127162894831,0.10887096774193548,0.03995601173020527,-0.7905668512866458,0.029414246870396413
2025-10-22 12:23:00-04:00,2025-10-22 12:25:00-04:00,4,2,1.0,80-100%,0.001987465739026835,0.6286831067875887,60-80%,1.3,26.0,target,2,-0.0032863439180634666,1.0,-0.4046749205484916,1.0,0.0,1.0,-1.6535348778754944,1.0
2025-10-23 11:45:00-04:00,2025-10-23 11:47:00-04:00,4,2,0.49497713529232557,40-60%,0.0021645119110254023,0.6859395243637322,60-80%,-1.0,-20.0,stop,2,-0.0017514690246229914,0.743396625713222,-0.20472858430496715,0.17772607347592634,0.0,1.0,-0.8091750457465774,0.058785841980153956
2025-10-24 10:54:00-04:00,2025-10-24 10:57:00-04:00,4,2,0.4698248409154314,40-60%,0.0019420968809157686,0.6128109971672632,60-80%,1.3,26.0,target,3,-0.0016505018358647797,0.6524579699083844,-0.1936814677740992,0.10384450486484255,0.0,1.0,-0.849855561832996,0.12299688888849876
