model,tail_percent,rr,horizon,probability_threshold,windows,total_trades,median_WR,mean_WR,median_R,mean_R,median_PF,mean_PF,total_R,worst_DD,worst_streak
xgboost,15.000000000000002,1.35,15,0.54,4,113,0.5573027718550106,0.5494847192608386,0.3096615138592751,0.2912890902629709,1.7386363636363638,1.7853896103896105,28.000000000000004,-6.950000000000001,5
xgboost,9.999999999999998,1.35,10,0.56,4,72,0.5571428571428572,0.5077380952380952,0.3092857142857144,0.19318452380952386,1.7015625,1.4920312500000001,19.650000000000006,-4.0,4
xgboost,9.999999999999998,1.3,12,0.52,4,126,0.5692307692307692,0.5714018539599934,0.3092307692307692,0.3142242641079851,1.7333333333333334,1.8312602627257797,37.300000000000004,-7.1000000000000005,6
xgboost,17.500000000000004,1.3,15,0.58,4,78,0.569047619047619,0.570508658008658,0.30880952380952387,0.31216991341991346,1.7166666666666668,2.0445833333333336,14.000000000000004,-7.300000000000001,4
xgboost,15.000000000000002,1.35,10,0.56,4,94,0.5562800274536719,0.5198066803935026,0.307258064516129,0.22154569892473122,1.7016608391608394,1.670473276723277,23.5,-4.0,4
xgboost,9.999999999999998,1.35,10,0.54,4,84,0.5562613430127041,0.4995592429349235,0.3072141560798548,0.17396422089707025,1.7062500000000003,1.4943750000000002,21.75,-4.3,4
xgboost,9.999999999999998,1.3,12,0.5,4,143,0.5682539682539682,0.5632936507936508,0.306984126984127,0.29557539682539685,1.8078124999999994,1.7918526785714284,41.00000000000001,-7.800000000000001,6
xgboost,15.000000000000002,1.35,15,0.56,4,93,0.5551994301994302,0.5331552706552707,0.304718660968661,0.2529148860398861,1.7725000000000004,2.3326785714285716,19.800000000000004,-8.299999999999999,6
xgboost,17.500000000000004,1.3,15,0.6,4,62,0.5657142857142857,0.629010989010989,0.30114285714285716,0.44672527472527473,1.693939393939394,inf,11.600000000000001,-8.200000000000001,4
xgboost,17.500000000000004,1.25,15,0.58,4,88,0.578125,0.5722320331695332,0.30078125,0.28752207463144963,1.75,1.9214015151515151,13.25,-6.5,5
xgboost,9.999999999999998,1.3,12,0.6,4,68,0.5634920634920635,0.5436507936507937,0.2960317460317461,0.25039682539682545,1.6791666666666667,1.8145833333333334,26.300000000000004,-4.0,4
xgboost,9.999999999999998,1.3,10,0.58,4,65,0.5625,0.4979166666666667,0.29375,0.14520833333333333,1.7333333333333334,1.5979166666666669,17.8,-3.0,4
xgboost,17.500000000000004,1.35,12,0.56,4,97,0.5424710424710424,0.5434216684216684,0.27480694980694986,0.27704092079092085,1.6125000000000003,1.675679347826087,18.150000000000006,-8.3,8
xgboost,17.500000000000004,1.2,15,0.6,4,77,0.5769230769230769,0.560391363022942,0.26923076923076916,0.23286099865047227,1.7333333333333334,1.6848484848484848,13.199999999999998,-6.6000000000000005,4
xgboost,9.999999999999998,1.3,15,0.52,4,133,0.5507955936352509,0.5759492674058607,0.26682986536107717,0.3246833150334798,1.6818749999999998,2.1499652777777776,37.20000000000001,-7.499999999999999,5
xgboost,12.5,1.3,12,0.5,4,153,0.5505050505050505,0.5248169851828388,0.26616161616161627,0.20707906592052938,1.5925000000000002,1.471604609929078,19.500000000000004,-9.500000000000002,4
xgboost,9.999999999999998,1.35,15,0.56,4,82,0.5380952380952381,0.533415435139573,0.26452380952380955,0.2535262725779968,1.626136363636364,1.8677556818181822,26.10000000000001,-5.949999999999999,5
