hypothesis,direction,barrier,horizon,windows,total_trades,mean_WR,median_R,mean_PF,median_PF,total_R,worst_DD
S2_LONG_CONTINUATION,long,0.75R,15,4,1300,0.5462249206616114,-0.03089962492760122,0.9501643818411367,0.9250167814521116,-15.0,-24.35
S1_SHORT_CONTINUATION,short,0.75R,15,4,1448,0.5368470041418655,-0.03220279349363507,0.9272617469805968,0.9286579791032488,-45.88749999999999,-39.45
S1_LONG_CONTINUATION,long,0.67R,10,4,1110,0.5584066103640559,-0.036489671686573175,0.9251229567117306,0.9041309130239226,-33.984999999999985,-25.707500000000003
S1_LONG_CONTINUATION,long,0.75R,10,4,1087,0.5370946871104949,-0.037223600484811756,0.9136917108920817,0.9063136393156985,-39.25,-26.862499999999997
S1_SHORT_CONTINUATION,short,0.67R,15,4,1481,0.5585831909019711,-0.037293413537489356,0.9110992357854185,0.905663293610635,-58.067499999999995,-36.44000000000001
S2_LONG_CONTINUATION,long,0.67R,15,4,1341,0.5714121870258776,-0.037566223698781834,0.9540571061721833,0.905643249070596,-11.874999999999993,-21.65750000000001
S1_SHORT_CONTINUATION,short,0.50R,5,4,1619,0.5875286941059247,-0.0395141736269299,0.8877187677253037,0.8724049594409284,-71.3125,-48.62499999999999
S1_SHORT_CONTINUATION,short,0.50R,10,4,1575,0.6127991700946527,-0.04381429397161608,0.8876045751761525,0.8708485773017419,-71.55,-46.824999999999996
S1_LONG_CONTINUATION,long,0.67R,15,4,1102,0.5709795321637428,-0.044369815668202764,0.9278805171415601,0.8903960374587034,-36.06,-28.300000000000004
S1_LONG_CONTINUATION,long,0.75R,15,4,1078,0.5472457085575566,-0.044425763957206106,0.924168042050667,0.8951468734431625,-37.35,-29.099999999999998
S1_SHORT_CONTINUATION,short,0.50R,15,4,1572,0.6200773778636748,-0.0473475014482803,0.8785632861193284,0.864210832752554,-75.46249999999999,-45.0875
