dataset,mae_threshold,horizon,recovery_level,trades,reached_trades,reached_pct,reached_win_rate,not_reached_win_rate,win_rate_difference,reached_mean_final_R,not_reached_mean_final_R
DEVELOPMENT,0.7,5,0.0,95,25,0.2631578947368421,0.52,,,-0.03360000000000002,
DEVELOPMENT,0.7,5,0.1,95,19,0.2,0.5263157894736842,,,0.004736842105263104,
DEVELOPMENT,0.7,5,0.2,95,16,0.16842105263157894,0.5625,,,-0.003750000000000031,
DEVELOPMENT,0.7,5,0.3,95,13,0.1368421052631579,0.6153846153846154,,,0.14999999999999994,
DEVELOPMENT,0.7,5,0.4,95,11,0.11578947368421053,0.5454545454545454,,,-0.12090909090909091,
DEVELOPMENT,0.7,6,-0.5,95,59,0.6210526315789474,0.3220338983050847,,,-0.315593220338983,
DEVELOPMENT,0.7,6,-0.4,95,52,0.5473684210526316,0.3269230769230769,,,-0.3053846153846154,
DEVELOPMENT,0.7,6,-0.3,95,42,0.4421052631578947,0.38095238095238093,,,-0.29500000000000004,
DEVELOPMENT,0.7,6,-0.2,95,38,0.4,0.42105263157894735,,,-0.22157894736842104,
DEVELOPMENT,0.7,6,-0.1,95,34,0.35789473684210527,0.47058823529411764,,,-0.18323529411764705,
DEVELOPMENT,0.7,6,0.0,95,28,0.29473684210526313,0.5,,,-0.06035714285714285,
DEVELOPMENT,0.7,6,0.1,95,22,0.23157894736842105,0.5454545454545454,,,0.020909090909090863,
DEVELOPMENT,0.7,6,0.2,95,19,0.2,0.5789473684210527,,,0.06526315789473679,
DEVELOPMENT,0.7,6,0.3,95,13,0.1368421052631579,0.6153846153846154,,,0.14999999999999994,
DEVELOPMENT,0.7,6,0.4,95,12,0.12631578947368421,0.5833333333333334,,,0.0583333333333333,
DEVELOPMENT,0.7,8,-0.5,95,61,0.6421052631578947,0.3114754098360656,,,-0.3350819672131148,
DEVELOPMENT,0.7,8,-0.4,95,56,0.5894736842105263,0.32142857142857145,,,-0.32678571428571423,
DEVELOPMENT,0.7,8,-0.3,95,46,0.4842105263157895,0.391304347826087,,,-0.2595652173913044,
DEVELOPMENT,0.7,8,-0.2,95,40,0.42105263157894735,0.45,,,-0.14925000000000008,
DEVELOPMENT,0.7,8,-0.1,95,36,0.37894736842105264,0.5,,,-0.10500000000000004,
DEVELOPMENT,0.7,8,0.0,95,31,0.3263157894736842,0.5161290322580645,,,-0.03903225806451613,
