mae_threshold,horizon,recovery_level,development_reached_trades,development_reached_pct,development_reached_WR,development_not_reached_trades,development_not_reached_WR,development_WR_difference,development_reached_mean_R,development_not_reached_mean_R,development_mean_R_difference,holdout_reached_trades,holdout_reached_pct,holdout_reached_WR,holdout_not_reached_trades,holdout_not_reached_WR,holdout_WR_difference,holdout_reached_mean_R,holdout_not_reached_mean_R,holdout_mean_R_difference
0.6,10.0,0.3,21,0.22105263157894736,0.5714285714285714,74,0.10810810810810811,0.4633204633204633,0.0847619047619047,-0.936081081081081,1.0208429858429857,28,0.28,0.6428571428571429,72,0.125,0.5178571428571429,0.4842857142857143,-1.1001388888888888,1.584424603174603
0.6,10.0,0.4,19,0.2,0.631578947368421,76,0.10526315789473684,0.5263157894736842,0.23210526315789473,-0.9460526315789473,1.178157894736842,25,0.25,0.6,75,0.16,0.43999999999999995,0.4024000000000001,-1.0094666666666665,1.4118666666666666
0.6,12.0,-0.5,67,0.7052631578947368,0.29850746268656714,28,0.0,0.29850746268656714,-0.36328358208955225,-1.541071428571429,1.177787846481877,78,0.78,0.34615384615384615,22,0.0,0.34615384615384615,-0.3123076923076923,-1.8768181818181817,1.5645104895104893
0.6,12.0,-0.4,59,0.6210526315789474,0.3389830508474576,36,0.0,0.3389830508474576,-0.301864406779661,-1.3800000000000001,1.0781355932203391,68,0.68,0.39705882352941174,32,0.0,0.39705882352941174,-0.1973529411764706,-1.6321875000000001,1.4348345588235296
0.6,12.0,-0.3,52,0.5473684210526316,0.36538461538461536,43,0.023255813953488372,0.342128801431127,-0.27403846153846156,-1.238139534883721,0.9641010733452594,63,0.63,0.4126984126984127,37,0.02702702702702703,0.38567138567138565,-0.17460317460317462,-1.4770270270270272,1.3024238524238525
0.6,12.0,-0.2,45,0.47368421052631576,0.4222222222222222,50,0.02,0.4022222222222222,-0.18288888888888885,-1.1852,1.0023111111111112,58,0.58,0.4482758620689655,42,0.023809523809523808,0.4244663382594417,-0.08327586206896553,-1.448095238095238,1.3648193760262726
0.6,12.0,-0.1,42,0.4421052631578947,0.4523809523809524,53,0.018867924528301886,0.4335130278526505,-0.14738095238095242,-1.1566037735849055,1.0092228212039531,52,0.52,0.46153846153846156,48,0.0625,0.39903846153846156,-0.06384615384615386,-1.2985416666666667,1.2346955128205128
0.6,12.0,0.0,35,0.3684210526315789,0.5142857142857142,60,0.03333333333333333,0.4809523809523809,-0.048857142857142905,-1.0963333333333334,1.0474761904761904,44,0.44,0.5,56,0.08928571428571429,0.4107142857142857,0.06136363636363637,-1.2205357142857143,1.2818993506493506
0.6,12.0,0.1,31,0.3263157894736842,0.5483870967741935,64,0.046875,0.5015120967741935,0.032903225806451615,-1.0704687499999999,1.1033719758064515,42,0.42,0.5238095238095238,58,0.08620689655172414,0.4376026272577997,0.149047619047619,-1.2398275862068966,1.3888752052545157
0.6,12.0,0.2,30,0.3157894736842105,0.5333333333333333,65,0.06153846153846154,0.4717948717948718,0.03033333333333333,-1.0523076923076924,1.0826410256410257,38,0.38,0.5789473684210527,62,0.08064516129032258,0.4983022071307301,0.23894736842105269,-1.205322580645161,1.4442699490662139
0.6,12.0,0.3,23,0.24210526315789474,0.5652173913043478,72,0.09722222222222222,0.4679951690821256,0.12391304347826079,-0.9769444444444445,1.1008574879227053,31,0.31,0.6774193548387096,69,0.08695652173913043,0.5904628330995791,0.6025806451612903,-1.222173913043478,1.8247545582047684
0.6,12.0,0.4,21,0.22105263157894736,0.6190476190476191,74,0.0945945945945946,0.5244530244530244,0.2609523809523809,-0.9860810810810808,1.2470334620334618,27,0.27,0.6296296296296297,73,0.136986301369863,0.49264332825976664,0.48185185185185186,-1.0775342465753424,1.5593860984271943
0.7,1.0,-0.5,27,0.28421052631578947,0.4074074074074074,68,0.1323529411764706,0.27505446623093677,-0.31629629629629624,-0.8669117647058825,0.5506154684095863,40,0.4,0.4,60,0.18333333333333332,0.2166666666666667,-0.05524999999999999,-1.0573333333333332,1.0020833333333332
0.7,1.0,-0.4,19,0.2,0.3157894736842105,76,0.18421052631578946,0.13157894736842105,-0.43473684210526314,-0.7793421052631581,0.3446052631578949,29,0.29,0.4827586206896552,71,0.18309859154929578,0.2996600291403594,0.14379310344827592,-0.9833802816901408,1.1271733851384167
