sample,mae_threshold,decision_bar,trades,triggered_trades,benchmark_R,strategy_R,delta_R,benchmark_mean_R,strategy_mean_R,delta_mean_R,benchmark_WR,strategy_WR,delta_WR,benchmark_PF,strategy_PF,benchmark_max_DD_R,strategy_max_DD_R,delta_max_DD_R,positive_windows,total_windows,positive_window_pct
DEVELOPMENT,0.95,8,95,48,-67.49,-58.730000000000004,8.759999999999991,-0.7104210526315788,-0.6182105263157895,0.0922105263157893,0.21052631578947367,0.15789473684210525,-0.05263157894736842,0.18559189091347894,0.1480997969248622,-69.04999999999997,-60.56999999999998,8.47999999999999,1,10,0.1
HOLDOUT,0.95,8,100,72,-65.64999999999999,-73.69000000000001,-8.04000000000002,-0.6564999999999999,-0.7369000000000001,-0.08040000000000025,0.27,0.1,-0.17,0.3409296255396045,0.1344843786704252,-64.88999999999997,-72.58,-7.690000000000026,0,10,0.0
DEVELOPMENT,1.0,2,95,6,-67.49,-59.690000000000005,7.79999999999999,-0.7104210526315788,-0.6283157894736843,0.08210526315789457,0.21052631578947367,0.2,-0.010526315789473661,0.18559189091347894,0.19576933441120992,-69.04999999999997,-61.249999999999986,7.799999999999983,1,10,0.1
HOLDOUT,1.0,2,100,11,-65.64999999999999,-68.74,-3.0900000000000034,-0.6564999999999999,-0.6873999999999999,-0.03090000000000004,0.27,0.24,-0.030000000000000027,0.3409296255396045,0.29900061187028354,-64.88999999999997,-67.97999999999998,-3.0900000000000034,2,10,0.2
DEVELOPMENT,1.0,3,95,10,-67.49,-58.24,9.249999999999993,-0.7104210526315788,-0.6130526315789474,0.09736842105263144,0.21052631578947367,0.2,-0.010526315789473661,0.18559189091347894,0.19967019376116535,-69.04999999999997,-59.79999999999999,9.249999999999979,1,10,0.1
HOLDOUT,1.0,3,100,24,-65.64999999999999,-66.99,-1.3400000000000034,-0.6564999999999999,-0.6698999999999999,-0.013400000000000079,0.27,0.21,-0.060000000000000026,0.3409296255396045,0.28696114954763174,-64.88999999999997,-66.22999999999999,-1.3400000000000176,3,10,0.3
DEVELOPMENT,1.0,4,95,19,-67.49,-58.93,8.559999999999995,-0.7104210526315788,-0.6203157894736842,0.09010526315789469,0.21052631578947367,0.17894736842105263,-0.03157894736842104,0.18559189091347894,0.17279618192026952,-69.04999999999997,-60.48999999999998,8.559999999999988,1,10,0.1
HOLDOUT,1.0,4,100,35,-65.64999999999999,-64.63,1.019999999999996,-0.6564999999999999,-0.6463,0.010199999999999876,0.27,0.2,-0.07,0.3409296255396045,0.28292466437368247,-64.88999999999997,-63.87,1.0199999999999747,2,10,0.2
DEVELOPMENT,1.0,5,95,27,-67.49,-58.36,9.129999999999995,-0.7104210526315788,-0.6143157894736843,0.09610526315789458,0.21052631578947367,0.16842105263157894,-0.04210526315789473,0.18559189091347894,0.16497352983259406,-69.04999999999997,-59.91999999999998,9.129999999999988,1,10,0.1
HOLDOUT,1.0,5,100,42,-65.64999999999999,-61.51,4.1399999999999935,-0.6564999999999999,-0.6151,0.04139999999999988,0.27,0.2,-0.07,0.3409296255396045,0.2930697620963107,-64.88999999999997,-60.4,4.489999999999974,2,10,0.2
DEVELOPMENT,1.0,6,95,32,-67.49,-57.06,10.429999999999993,-0.7104210526315788,-0.6006315789473684,0.10978947368421044,0.21052631578947367,0.15789473684210525,-0.05263157894736842,0.18559189091347894,0.16383352872215715,-69.04999999999997,-58.619999999999976,10.429999999999993,1,10,0.1
HOLDOUT,1.0,6,100,51,-65.64999999999999,-60.17,5.47999999999999,-0.6564999999999999,-0.6017,0.05479999999999985,0.27,0.19,-0.08000000000000002,0.3409296255396045,0.29444183864915574,-64.88999999999997,-59.059999999999995,5.829999999999977,2,10,0.2
DEVELOPMENT,1.0,8,95,40,-67.49,-59.080000000000005,8.40999999999999,-0.7104210526315788,-0.6218947368421053,0.08852631578947356,0.21052631578947367,0.15789473684210525,-0.05263157894736842,0.18559189091347894,0.15912325647594647,-69.04999999999997,-60.63999999999997,8.409999999999997,1,10,0.1
HOLDOUT,1.0,8,100,62,-65.64999999999999,-65.89,-0.2400000000000091,-0.6564999999999999,-0.6589,-0.0024000000000001798,0.27,0.16,-0.11000000000000001,0.3409296255396045,0.22381905995994816,-64.88999999999997,-64.78000000000002,0.1099999999999568,1,10,0.1
