mae_threshold,recovery_level,recovery_horizon,triggered_trades,recovery_exits,trades,wins,losses,win_rate,mean_R,total_R,delta_R,profit_factor,max_drawdown_R,positive_window_pct,worst_window_R,best_window_R
0.8,0.25,5,89,15,95,26,69,0.2736842105263158,-0.7046315789473684,-66.94,0.5499999999999972,0.11055009301089556,-66.75999999999998,0.1,-14.93,0.09
0.8,0.25,6,89,16,95,26,69,0.2736842105263158,-0.7030526315789473,-66.78999999999999,0.7000000000000028,0.11254318363008235,-66.75999999999998,0.1,-14.93,0.09
0.8,0.25,8,89,22,95,30,65,0.3157894736842105,-0.6718947368421053,-63.830000000000005,3.6599999999999895,0.11885698509110988,-64.05,0.1,-14.68,0.09
0.8,0.25,10,89,23,95,31,64,0.3263157894736842,-0.6671578947368422,-63.38,4.109999999999992,0.12264673311184937,-63.59999999999999,0.1,-14.23,0.09
0.8,0.25,12,89,24,95,31,64,0.3263157894736842,-0.6703157894736842,-63.68,3.809999999999995,0.1184939091915836,-63.89999999999999,0.1,-14.23,0.09
0.8,0.5,2,89,0,95,20,75,0.21052631578947367,-0.7104210526315788,-67.49,0.0,0.18559189091347894,-69.04999999999997,0.1,-14.0,0.09
0.8,0.5,3,89,3,95,23,72,0.24210526315789474,-0.6605263157894737,-62.75000000000001,4.739999999999988,0.21198040939344465,-64.30999999999997,0.1,-12.88,0.09
0.8,0.5,4,89,6,95,24,71,0.25263157894736843,-0.6251578947368421,-59.39,8.099999999999994,0.22578542562899234,-61.23999999999999,0.1,-12.88,0.09
0.8,0.5,5,89,9,95,25,70,0.2631578947368421,-0.6453684210526316,-61.31,6.179999999999993,0.19243940990516334,-63.15999999999999,0.1,-13.01,0.09
0.8,0.5,6,89,10,95,25,70,0.2631578947368421,-0.6576842105263159,-62.480000000000004,5.009999999999991,0.17702845100105377,-64.32999999999998,0.1,-14.18,0.09
0.8,0.5,8,89,12,95,26,69,0.2736842105263158,-0.649578947368421,-61.71,5.779999999999994,0.1834061135371179,-63.55999999999999,0.1,-14.18,0.09
0.8,0.5,10,89,15,95,26,69,0.2736842105263158,-0.6765263157894736,-64.27,3.219999999999999,0.14953023686648137,-64.58999999999997,0.1,-14.18,0.09
0.8,0.5,12,89,18,95,28,67,0.29473684210526313,-0.664421052631579,-63.120000000000005,4.36999999999999,0.16253151121135728,-63.43999999999998,0.1,-12.98,0.09
0.85,-0.2,2,79,6,95,17,78,0.17894736842105263,-0.7241052631578948,-68.79,-1.3000000000000114,0.14684360659804044,-70.35,0.2,-13.66,0.1499999999999999
0.85,-0.2,3,79,12,95,13,82,0.1368421052631579,-0.7513684210526316,-71.38,-3.8900000000000006,0.1206110632006899,-72.52999999999999,0.1,-14.100000000000001,0.09
0.85,-0.2,4,79,14,95,11,84,0.11578947368421053,-0.7789473684210526,-74.0,-6.510000000000005,0.09280372686036534,-75.14999999999998,0.1,-14.28,0.09
0.85,-0.2,5,79,15,95,10,85,0.10526315789473684,-0.783578947368421,-74.44,-6.950000000000003,0.08964167787697201,-75.58999999999999,0.1,-14.28,0.09
0.85,-0.2,6,79,17,95,9,86,0.09473684210526316,-0.7752631578947369,-73.65,-6.160000000000011,0.0816708229426434,-74.79999999999998,0.1,-14.28,0.09
0.85,-0.2,8,79,21,95,7,88,0.07368421052631578,-0.7809473684210526,-74.19,-6.700000000000003,0.07872842418974295,-75.33999999999999,0.1,-14.58,0.09
0.85,-0.2,10,79,25,95,7,88,0.07368421052631578,-0.7708421052631581,-73.23000000000002,-5.740000000000023,0.07967827070503959,-74.38000000000001,0.1,-14.17,0.09
0.85,-0.2,12,79,25,95,7,88,0.07368421052631578,-0.7708421052631581,-73.23000000000002,-5.740000000000023,0.07967827070503959,-74.38000000000001,0.1,-14.17,0.09
0.85,0.0,2,79,4,95,17,78,0.17894736842105263,-0.7191578947368422,-68.32000000000001,-0.8300000000000125,0.1477045908183633,-69.87999999999998,0.1,-13.46,0.09
0.85,0.0,3,79,6,95,16,79,0.16842105263157894,-0.7181052631578947,-68.22,-0.730000000000004,0.14414753481369966,-69.77999999999997,0.1,-13.46,0.09
0.85,0.0,4,79,11,95,12,83,0.12631578947368421,-0.7535789473684209,-71.58999999999999,-4.099999999999994,0.10186927612595657,-72.93999999999996,0.1,-13.7,0.09
0.85,0.0,5,79,12,95,12,83,0.12631578947368421,-0.7513684210526316,-71.38,-3.8900000000000006,0.1021383647798742,-72.72999999999996,0.1,-13.7,0.09
0.85,0.0,6,79,12,95,12,83,0.12631578947368421,-0.7513684210526316,-71.38,-3.8900000000000006,0.1021383647798742,-72.72999999999996,0.1,-13.7,0.09
0.85,0.0,8,79,16,95,9,86,0.09473684210526316,-0.7410526315789473,-70.39999999999999,-2.9099999999999966,0.09196440087707985,-71.74999999999997,0.1,-13.7,0.09
0.85,0.0,10,79,18,95,8,87,0.08421052631578947,-0.7414736842105263,-70.44,-2.950000000000003,0.08909866804603649,-71.78999999999996,0.1,-13.7,0.09
0.85,0.0,12,79,19,95,7,88,0.07368421052631578,-0.7472631578947367,-70.99,-3.5,0.08198629251260832,-72.33999999999996,0.1,-13.7,0.09
0.85,0.25,2,79,2,95,21,74,0.22105263157894736,-0.6988421052631579,-66.39,1.0999999999999943,0.17178143712574848,-67.94999999999997,0.1,-12.88,0.09
