mae_threshold,recovery_level,deadline,development_trades,development_mae_triggered,development_recovered,development_failed,development_no_mae,development_recovery_rate,development_recovered_win_rate,development_failed_win_rate,development_win_rate_separation,development_recovered_mean_R,development_failed_mean_R,development_mean_R_separation,development_recovered_total_R,development_failed_total_R,development_recovered_PF,development_failed_PF,_selection_score
0.7,0.1,12,95,95,34,61,0,0.35789473684210527,0.5588235294117647,0.01639344262295082,0.5424300867888139,0.04323529411764703,-1.1304918032786881,1.1737270973963352,1.469999999999999,-68.95999999999998,1.1064446053584358,0.0014480162177816394,1.1292936354869814
0.75,0.1,12,95,95,34,61,0,0.35789473684210527,0.5588235294117647,0.01639344262295082,0.5424300867888139,0.04323529411764703,-1.1304918032786881,1.1737270973963352,1.469999999999999,-68.95999999999998,1.1064446053584358,0.0014480162177816394,1.1292936354869814
0.85,0.3,10,95,79,12,67,16,0.1518987341772152,0.5833333333333334,0.08955223880597014,0.49378109452736324,0.17666666666666664,-1.0864179104477611,1.263084577114428,2.1199999999999997,-72.78999999999999,1.397748592870544,0.02137671417047594,1.1253233830845772
0.9,0.3,8,95,74,9,65,21,0.12162162162162163,0.5555555555555556,0.07692307692307693,0.47863247863247865,0.16999999999999998,-1.1166153846153843,1.2866153846153843,1.5299999999999998,-72.57999999999998,1.2982456140350875,0.0141265960336865,1.1219401709401708
0.75,0.4,8,95,95,19,76,0,0.2,0.631578947368421,0.10526315789473684,0.5263157894736842,0.24105263157894738,-0.9482894736842105,1.1893421052631579,4.58,-72.07,1.5826972010178115,0.03919477403012931,1.1209868421052631
0.6,0.4,10,95,95,19,76,0,0.2,0.631578947368421,0.10526315789473684,0.5263157894736842,0.23210526315789473,-0.9460526315789473,1.178157894736842,4.41,-71.89999999999999,1.5610687022900762,0.04146113851486469,1.1153947368421053
0.75,0.4,10,95,95,22,73,0,0.23157894736842105,0.5909090909090909,0.0958904109589041,0.49501867995018684,0.23999999999999988,-0.996849315068493,1.236849315068493,5.279999999999998,-72.76999999999998,1.6278240190249702,0.022696749932849855,1.1134433374844332
0.9,-0.2,12,95,74,22,52,21,0.2972972972972973,0.45454545454545453,0.0,0.45454545454545453,-0.040909090909090916,-1.3490384615384614,1.3081293706293704,-0.9000000000000001,-70.14999999999999,0.8953488372093024,0.0,1.1086101398601398
0.8,0.4,10,95,89,18,71,6,0.20224719101123595,0.5555555555555556,0.08450704225352113,0.47104851330203446,0.23222222222222222,-1.036338028169014,1.268560250391236,4.18,-73.58,1.5573333333333332,0.021152055341226557,1.1053286384976526
0.85,-0.3,8,95,79,27,52,16,0.34177215189873417,0.48148148148148145,0.0,0.48148148148148145,-0.0737037037037037,-1.320769230769231,1.2470655270655273,-1.99,-68.68,0.8195829555757026,0.0,1.105014245014245
0.75,0.0,12,95,95,37,58,0,0.3894736842105263,0.5405405405405406,0.0,0.5405405405405406,-0.02351351351351351,-1.1486206896551725,1.125107176141659,-0.8699999999999999,-66.62,0.9464615384615384,0.0,1.10309412861137
0.6,0.1,10,95,95,29,66,0,0.30526315789473685,0.5862068965517241,0.045454545454545456,0.5407523510971787,0.06448275862068965,-1.0509090909090908,1.1153918495297805,1.8699999999999999,-69.36,1.146551724137931,0.01069747539580659,1.098448275862069
0.85,-0.2,3,95,79,12,67,16,0.1518987341772152,0.5833333333333334,0.08955223880597014,0.49378109452736324,0.12416666666666666,-1.0770149253731343,1.201181592039801,1.49,-72.16,1.3634146341463413,0.04562888506811269,1.0943718905472637
0.85,0.0,3,95,79,6,73,16,0.0759493670886076,0.6666666666666666,0.1232876712328767,0.54337899543379,0.12166666666666663,-0.9780821917808218,1.0997488584474884,0.7299999999999998,-71.39999999999999,1.231012658227848,0.06727629000653168,1.0932534246575343
