rule_type,decision_bar,threshold_a,threshold_b,window,trades,win_rate,mean_R,total_R,profit_factor,max_drawdown_R
MAE,1,0.75,,8,6,0.6666666666666666,0.5189333333333334,3.1136,3.9406875708349074,-0.7944
MAE,1,0.75,,9,40,0.3,-0.2669,-10.676,0.5283035540710108,-13.736399999999996
MAE,1,0.75,,10,41,0.5365853658536586,0.31267317073170736,12.819600000000001,2.0360444817999617,-2.7176
MAE,1,0.75,,11,35,0.2857142857142857,-0.3655428571428571,-12.793999999999999,0.3765107212475634,-13.610799999999996
MAE,1,0.75,,12,43,0.46511627906976744,0.022111627906976777,0.9508000000000014,1.045059048774477,-4.5608
MAE,1,0.75,,13,1,0.0,-1.0444,-1.0444,0.0,0.0
MAE,1,0.75,,14,44,0.5681818181818182,0.3287818181818183,14.466400000000004,1.780128993291486,-3.1331999999999987
MAE,1,0.75,,15,5,0.4,0.055600000000000004,0.278,1.088727179879995,-1.0444
MAE,1,0.75,,16,8,0.625,0.2956,2.3648,1.8145494626618903,-2.9031999999999996
MAE,1,0.75,,17,5,0.6,0.6516000000000001,3.2580000000000005,2.7527437056165267,-1.0444
MAE,1,0.75,,18,20,0.35,-0.23240000000000002,-4.648000000000001,0.6179893484121245,-9.386
MAE,1,0.75,,19,2,0.0,-0.7194,-1.4388,0.0,-0.3944000000000001
MAE,1,0.75,,20,71,0.4225352112676056,0.05179718309859158,3.677600000000002,1.0968799064288044,-5.6316
MAE,1,0.75,,21,1,0.0,-0.25439999999999996,-0.25439999999999996,0.0,0.0
MAE,1,0.75,,22,17,0.29411764705882354,-0.20675294117647058,-3.5147999999999997,0.6906748336677581,-6.5428
MAE,1,1.0,,1,43,0.5813953488372093,0.2560651162790698,11.010800000000001,1.9460100350539558,-2.777599999999998
MAE,1,1.0,,2,1,0.0,-1.0444,-1.0444,0.0,0.0
MAE,1,1.0,,3,38,0.34210526315789475,-0.22703157894736842,-8.6272,0.5840308582449374,-8.399999999999999
MAE,1,1.0,,4,1,1.0,0.0456,0.0456,inf,0.0
MAE,1,1.0,,5,43,0.4186046511627907,0.05653023255813955,2.4308000000000005,1.1679889426399446,-5.3524
MAE,1,1.0,,6,69,0.5652173913043478,0.18415072463768115,12.706399999999999,1.5570050850429602,-5.4496
MAE,1,1.0,,7,3,0.3333333333333333,-0.14106666666666665,-0.42319999999999997,0.3943903835145965,-0.6988
MAE,1,1.0,,8,6,0.6666666666666666,0.5189333333333334,3.1136,3.9406875708349074,-0.7944
MAE,1,1.0,,9,40,0.3,-0.25539999999999996,-10.216,0.5392636155358722,-13.276399999999995
MAE,1,1.0,,10,41,0.5365853658536586,0.30560000000000004,12.529600000000002,1.9894184907925079,-2.7176
MAE,1,1.0,,11,35,0.2857142857142857,-0.3655428571428571,-12.793999999999999,0.3765107212475634,-13.610799999999996
MAE,1,1.0,,12,43,0.4883720930232558,0.06234418604651167,2.680800000000002,1.1271919836028241,-4.5608
MAE,1,1.0,,13,1,0.0,-1.0444,-1.0444,0.0,0.0
MAE,1,1.0,,14,44,0.5681818181818182,0.32196363636363645,14.166400000000003,1.7517884056125157,-3.1331999999999987
MAE,1,1.0,,15,5,0.4,0.055600000000000004,0.278,1.088727179879995,-1.0444
MAE,1,1.0,,16,8,0.625,0.2956,2.3648,1.8145494626618903,-2.9031999999999996
MAE,1,1.0,,17,5,0.6,0.6516000000000001,3.2580000000000005,2.7527437056165267,-1.0444
