sample,mae_threshold,decision_bar,trades,triggered_trades,benchmark_R,strategy_R,delta_R,benchmark_mean_R,strategy_mean_R,delta_mean_R,benchmark_WR,strategy_WR,delta_WR,benchmark_PF,strategy_PF,benchmark_max_DD_R,strategy_max_DD_R,delta_max_DD_R,positive_windows,total_windows,positive_window_pct,index,window,triggered,crossing_bar
DEVELOPMENT,0.7,3,,,-1.97,-0.83,,,,,,,,,,,,,,,,30,5.0,True,2.0
DEVELOPMENT,0.7,3,,,-0.77,-0.77,,,,,,,,,,,,,,,,31,6.0,False,
DEVELOPMENT,0.7,3,,,-0.83,-0.64,,,,,,,,,,,,,,,,32,6.0,True,3.0
DEVELOPMENT,0.7,3,,,-0.62,-0.62,,,,,,,,,,,,,,,,33,6.0,False,
DEVELOPMENT,0.7,3,,,-1.81,-1.81,,,,,,,,,,,,,,,,34,6.0,False,
DEVELOPMENT,0.7,3,,,-1.56,-1.56,,,,,,,,,,,,,,,,35,6.0,False,
DEVELOPMENT,0.7,3,,,0.35,0.35,,,,,,,,,,,,,,,,36,6.0,False,
DEVELOPMENT,0.7,3,,,1.25,-0.21,,,,,,,,,,,,,,,,37,6.0,True,3.0
DEVELOPMENT,0.7,3,,,0.55,0.55,,,,,,,,,,,,,,,,38,6.0,False,
DEVELOPMENT,0.7,3,,,-1.43,-1.43,,,,,,,,,,,,,,,,39,6.0,False,
DEVELOPMENT,0.7,3,,,-2.92,-2.92,,,,,,,,,,,,,,,,40,6.0,False,
DEVELOPMENT,0.7,3,,,-0.47,-0.47,,,,,,,,,,,,,,,,41,6.0,False,
DEVELOPMENT,0.7,3,,,0.1,0.1,,,,,,,,,,,,,,,,42,6.0,False,
DEVELOPMENT,0.7,3,,,-0.61,-0.61,,,,,,,,,,,,,,,,43,6.0,False,
DEVELOPMENT,0.7,3,,,-0.8,-0.59,,,,,,,,,,,,,,,,44,6.0,True,3.0
DEVELOPMENT,0.7,3,,,-0.51,-0.64,,,,,,,,,,,,,,,,45,6.0,True,3.0
DEVELOPMENT,0.7,3,,,-1.25,-0.59,,,,,,,,,,,,,,,,46,6.0,True,2.0
DEVELOPMENT,0.7,3,,,-0.45,-0.45,,,,,,,,,,,,,,,,47,6.0,False,
DEVELOPMENT,0.7,3,,,-0.75,-0.75,,,,,,,,,,,,,,,,48,8.0,False,
DEVELOPMENT,0.7,3,,,-1.75,-1.75,,,,,,,,,,,,,,,,49,9.0,False,
DEVELOPMENT,0.7,3,,,-0.21,-0.21,,,,,,,,,,,,,,,,50,9.0,False,
DEVELOPMENT,0.7,3,,,-0.68,-0.81,,,,,,,,,,,,,,,,51,9.0,True,3.0
DEVELOPMENT,0.7,3,,,-0.94,-0.94,,,,,,,,,,,,,,,,52,9.0,False,
DEVELOPMENT,0.7,3,,,-1.3,-1.3,,,,,,,,,,,,,,,,53,9.0,False,
DEVELOPMENT,0.7,3,,,-0.03,-0.63,,,,,,,,,,,,,,,,54,9.0,True,2.0
DEVELOPMENT,0.7,3,,,-1.13,-0.7,,,,,,,,,,,,,,,,55,9.0,True,3.0
DEVELOPMENT,0.7,3,,,-0.17,-0.63,,,,,,,,,,,,,,,,56,9.0,True,1.0
DEVELOPMENT,0.7,3,,,-0.97,-0.97,,,,,,,,,,,,,,,,57,9.0,False,
