mae_threshold,recovery_level,recovery_horizon,trades,triggered_trades,recovered_trades,recovery_pct,benchmark_R,strategy_R,delta_R,benchmark_WR,strategy_WR,delta_WR,benchmark_PF,strategy_PF
1.0,0.5,6,95,40,3,0.075,-67.49,-62.42999999999999,5.060000000000002,0.21052631578947367,0.17894736842105263,-0.03157894736842104,0.18559189091347894,0.18466762439597756
1.0,0.75,6,95,40,3,0.075,-67.49,-62.42999999999999,5.060000000000002,0.21052631578947367,0.17894736842105263,-0.03157894736842104,0.18559189091347894,0.18466762439597756
0.7,0.25,6,95,95,10,0.10526315789473684,-67.49,-62.45,5.039999999999992,0.21052631578947367,0.10526315789473684,-0.10526315789473684,0.18559189091347894,0.1270617836175566
1.0,1.0,6,95,40,2,0.05,-67.49,-62.459999999999994,5.030000000000001,0.21052631578947367,0.17894736842105263,-0.03157894736842104,0.18559189091347894,0.18427582604153064
1.0,0.0,7,95,40,3,0.075,-67.49,-62.519999999999996,4.969999999999999,0.21052631578947367,0.17894736842105263,-0.03157894736842104,0.18559189091347894,0.18445082181059225
1.0,0.0,8,95,40,3,0.075,-67.49,-62.519999999999996,4.969999999999999,0.21052631578947367,0.17894736842105263,-0.03157894736842104,0.18559189091347894,0.18445082181059225
1.0,0.25,7,95,40,3,0.075,-67.49,-62.519999999999996,4.969999999999999,0.21052631578947367,0.17894736842105263,-0.03157894736842104,0.18559189091347894,0.18445082181059225
1.0,0.25,8,95,40,3,0.075,-67.49,-62.519999999999996,4.969999999999999,0.21052631578947367,0.17894736842105263,-0.03157894736842104,0.18559189091347894,0.18445082181059225
1.0,0.5,7,95,40,3,0.075,-67.49,-62.519999999999996,4.969999999999999,0.21052631578947367,0.17894736842105263,-0.03157894736842104,0.18559189091347894,0.18445082181059225
1.0,0.5,8,95,40,3,0.075,-67.49,-62.519999999999996,4.969999999999999,0.21052631578947367,0.17894736842105263,-0.03157894736842104,0.18559189091347894,0.18445082181059225
