rule_type,decision_bar,threshold_a,threshold_b,triggered_trades,trades,win_rate,mean_R,total_R,profit_factor,max_drawdown_R,positive_window_pct,worst_window_R,best_window_R,longest_losing_streak
CLOSE_AND_MFE,8.0,-0.75,1.0,73,195,0.13846153846153847,-0.30188102564102565,-58.8668,0.33051132744973183,-61.00920000000009,0.2,-12.2168,1.7056,6
CLOSE_AND_MFE,8.0,-0.5,0.25,69,195,0.1282051282051282,-0.34843282051282054,-67.9444,0.29440964375913875,-70.08680000000008,0.15,-18.4832,1.098,10
CLOSE_AND_MFE,8.0,-0.5,0.5,95,195,0.1282051282051282,-0.21353846153846154,-41.64,0.4050578654093443,-43.78240000000001,0.2,-16.3944,2.1424,10
CLOSE_AND_MFE,8.0,-0.5,0.75,107,195,0.1282051282051282,-0.15331897435897437,-29.8972,0.4867186748890932,-32.03959999999998,0.3,-10.128,2.1424,7
CLOSE_AND_MFE,8.0,-0.5,1.0,109,195,0.12307692307692308,-0.15670974358974357,-30.5584,0.4657883879810078,-32.70079999999997,0.25,-9.0836,2.1424,5
CLOSE_AND_MFE,8.0,-0.25,0.25,84,195,0.1076923076923077,-0.318145641025641,-62.0384,0.2923322610818334,-63.9096000000001,0.15,-16.3944,0.8268,7
CLOSE_AND_MFE,8.0,-0.25,0.5,119,195,0.10256410256410256,-0.1460225641025641,-28.4744,0.4724657442882446,-30.345599999999983,0.35,-12.2168,1.8712,5
CLOSE_AND_MFE,8.0,-0.25,0.75,135,195,0.10256410256410256,-0.06437948717948717,-12.553999999999998,0.6701177212528907,-14.425199999999995,0.35,-4.906,2.9824,3
CLOSE_AND_MFE,8.0,-0.25,1.0,139,195,0.09230769230769231,-0.07116102564102564,-13.8764,0.6141929313374406,-15.747599999999993,0.3,-3.9463999999999997,2.9824,2
CLOSE_AND_MFE,8.0,0.0,0.25,88,195,0.1076923076923077,-0.30051692307692307,-58.6008,0.30426317014213744,-60.47200000000009,0.2,-16.3944,0.8268,7
CLOSE_AND_MFE,8.0,0.0,0.5,131,195,0.08205128205128205,-0.11862358974358973,-23.1316,0.5040522113496222,-24.837199999999992,0.25,-11.1724,1.8668,5
CLOSE_AND_MFE,8.0,0.0,0.75,151,195,0.07692307692307693,-0.029659487179487173,-5.783599999999999,0.7903550870681031,-10.2812,0.35,-5.5672,3.2868,3
CLOSE_AND_MFE,8.0,0.0,1.0,157,195,0.06666666666666667,-0.030447179487179482,-5.937199999999999,0.7559720509658859,-8.1924,0.3,-4.5228,1.9868,2
