sample,mae_threshold,decision_bar,window,trades,triggered_trades,benchmark_R,strategy_R,delta_R,benchmark_WR,strategy_WR
DEVELOPMENT,0.75,2,9,19,1,-11.989999999999998,-12.45,-0.46000000000000085,0.10526315789473684,0.10526315789473684
DEVELOPMENT,0.75,2,10,12,4,-7.510000000000001,-9.449999999999998,-1.9399999999999968,0.3333333333333333,0.16666666666666666
DEVELOPMENT,0.75,2,11,15,4,-12.880000000000003,-10.940000000000001,1.9400000000000013,0.13333333333333333,0.13333333333333333
HOLDOUT,0.75,2,12,19,7,-17.270000000000003,-17.32,-0.04999999999999716,0.2631578947368421,0.10526315789473684
HOLDOUT,0.75,2,13,1,0,1.46,1.46,0.0,1.0,1.0
HOLDOUT,0.75,2,14,20,7,-6.62,-8.200000000000001,-1.580000000000001,0.3,0.25
HOLDOUT,0.75,2,15,3,0,-3.53,-3.53,0.0,0.0,0.0
HOLDOUT,0.75,2,16,2,0,1.15,1.15,0.0,0.5,0.5
HOLDOUT,0.75,2,18,9,3,-6.6899999999999995,-8.68,-1.9900000000000002,0.2222222222222222,0.0
HOLDOUT,0.75,2,19,2,1,-0.41999999999999993,-3.97,-3.5500000000000003,0.5,0.0
HOLDOUT,0.75,2,20,33,12,-26.269999999999996,-30.009999999999998,-3.740000000000002,0.2727272727272727,0.18181818181818182
HOLDOUT,0.75,2,21,1,1,3.94,-0.21,-4.15,1.0,0.0
HOLDOUT,0.75,2,22,10,3,-11.400000000000002,-10.22,1.1800000000000015,0.1,0.1
DEVELOPMENT,0.75,3,1,8,3,-0.3800000000000001,-2.8099999999999996,-2.4299999999999997,0.5,0.375
DEVELOPMENT,0.75,3,2,1,1,-1.7,-0.29,1.41,0.0,0.0
DEVELOPMENT,0.75,3,3,14,5,-6.59,-8.629999999999999,-2.039999999999999,0.21428571428571427,0.14285714285714285
DEVELOPMENT,0.75,3,4,1,1,0.09,-0.32,-0.41000000000000003,1.0,0.0
DEVELOPMENT,0.75,3,5,7,4,-14.000000000000002,-4.61,9.39,0.0,0.0
DEVELOPMENT,0.75,3,6,17,4,-11.78,-12.589999999999998,-0.8099999999999987,0.23529411764705882,0.17647058823529413
DEVELOPMENT,0.75,3,8,1,0,-0.75,-0.75,0.0,0.0,0.0
DEVELOPMENT,0.75,3,9,19,6,-11.989999999999998,-12.7,-0.7100000000000009,0.10526315789473684,0.10526315789473684
DEVELOPMENT,0.75,3,10,12,7,-7.510000000000001,-5.67,1.8400000000000007,0.3333333333333333,0.16666666666666666
DEVELOPMENT,0.75,3,11,15,7,-12.880000000000003,-9.120000000000001,3.7600000000000016,0.13333333333333333,0.13333333333333333
HOLDOUT,0.75,3,12,19,10,-17.270000000000003,-17.57,-0.29999999999999716,0.2631578947368421,0.05263157894736842
HOLDOUT,0.75,3,13,1,0,1.46,1.46,0.0,1.0,1.0
