mae_threshold,recovery_level,recovery_horizon,triggered_trades,recovered_trades,recovery_pct,recovered_win_rate,recovered_mean_R,recovered_total_R,not_recovered_trades,not_recovered_win_rate,not_recovered_mean_R,not_recovered_total_R,win_rate_difference,mean_R_difference
0.8,0.0,2,174,21,0.1206896551724138,0.42857142857142855,-0.15571428571428575,-3.2700000000000005,153,0.1830065359477124,-0.8562091503267973,-131.0,0.24556489262371614,0.7004948646125115
0.8,0.0,3,174,23,0.13218390804597702,0.43478260869565216,-0.26478260869565223,-6.090000000000001,151,0.17880794701986755,-0.8488741721854305,-128.18,0.25597466167578464,0.5840915634897783
0.8,0.0,4,174,28,0.16091954022988506,0.42857142857142855,-0.09964285714285714,-2.79,146,0.17123287671232876,-0.9005479452054794,-131.48,0.2573385518590998,0.8009050880626223
0.8,0.0,5,174,32,0.1839080459770115,0.4375,-0.18968749999999998,-6.069999999999999,142,0.1619718309859155,-0.9028169014084506,-128.2,0.2755281690140845,0.7131294014084506
0.8,0.0,6,174,33,0.1896551724137931,0.45454545454545453,-0.15818181818181817,-5.22,141,0.15602836879432624,-0.9152482269503545,-129.04999999999998,0.2985170857511283,0.7570664087685363
0.8,0.0,7,174,34,0.19540229885057472,0.4411764705882353,-0.1691176470588236,-5.750000000000002,140,0.15714285714285714,-0.9179999999999998,-128.51999999999998,0.28403361344537814,0.7488823529411762
0.8,0.0,8,174,34,0.19540229885057472,0.4411764705882353,-0.1691176470588236,-5.750000000000002,140,0.15714285714285714,-0.9179999999999998,-128.51999999999998,0.28403361344537814,0.7488823529411762
0.8,0.25,1,174,4,0.022988505747126436,0.75,0.74,2.96,170,0.2,-0.807235294117647,-137.23,0.55,1.547235294117647
0.8,0.25,2,174,7,0.040229885057471264,0.42857142857142855,-0.09857142857142856,-0.69,167,0.20359281437125748,-0.799880239520958,-133.57999999999998,0.22497861420017107,0.7013088109495295
0.8,0.25,3,174,11,0.06321839080459771,0.45454545454545453,0.1318181818181818,1.4499999999999997,163,0.19631901840490798,-0.832638036809816,-135.72,0.2582264361405465,0.9644562186279978
0.8,0.25,4,174,16,0.09195402298850575,0.5,0.208125,3.33,158,0.18354430379746836,-0.8708860759493671,-137.6,0.31645569620253167,1.0790110759493672
0.8,0.25,5,174,19,0.10919540229885058,0.47368421052631576,0.19263157894736843,3.66,155,0.18064516129032257,-0.8898709677419353,-137.92999999999998,0.2930390492359932,1.0825025466893037
0.8,0.25,6,174,20,0.11494252873563218,0.5,0.22549999999999998,4.51,154,0.17532467532467533,-0.901168831168831,-138.77999999999997,0.3246753246753247,1.1266688311688309
0.8,0.25,7,174,20,0.11494252873563218,0.5,0.22549999999999998,4.51,154,0.17532467532467533,-0.901168831168831,-138.77999999999997,0.3246753246753247,1.1266688311688309
0.8,0.25,8,174,20,0.11494252873563218,0.5,0.22549999999999998,4.51,154,0.17532467532467533,-0.901168831168831,-138.77999999999997,0.3246753246753247,1.1266688311688309
0.8,0.5,1,174,1,0.005747126436781609,1.0,3.2,3.2,173,0.20809248554913296,-0.7946242774566472,-137.46999999999997,0.791907514450867,3.9946242774566474
0.8,0.5,2,174,1,0.005747126436781609,1.0,3.2,3.2,173,0.20809248554913296,-0.7946242774566472,-137.46999999999997,0.791907514450867,3.9946242774566474
0.8,0.5,3,174,4,0.022988505747126436,0.5,0.1925,0.77,170,0.20588235294117646,-0.7943529411764706,-135.04,0.29411764705882354,0.9868529411764706
0.8,0.5,4,174,9,0.05172413793103448,0.4444444444444444,0.03777777777777786,0.34000000000000075,165,0.2,-0.8158181818181816,-134.60999999999996,0.2444444444444444,0.8535959595959595
0.8,0.5,5,174,12,0.06896551724137931,0.5,0.26999999999999996,3.2399999999999993,162,0.19135802469135801,-0.8488271604938271,-137.51,0.308641975308642,1.1188271604938271
