mae_threshold,recovery_level,deadline,full_trades,full_total_R,full_mean_R,full_win_rate,full_profit_factor,full_max_drawdown_R,oos_trades,oos_total_R,oos_mean_R,oos_win_rate,oos_profit_factor,oos_max_drawdown_R,delta_OOS_R_vs_frozen,positive_OOS,positive_mean_R,PF_above_1,relative_to_frozen,distance
0.65,0.0,4,195,-127.49399999999997,-0.6538153846153845,0.1794871794871795,0.18065088301071952,-128.5919999999998,100,-67.03919999999998,-0.6703919999999998,0.19,0.19109420775998964,-67.0392000000001,-2.550799999999981,False,False,False,1.0395544004813266,0.35
0.6,0.4,7,195,-124.32199999999997,-0.6375487179487178,0.18461538461538463,0.2003967079925599,-125.41999999999982,100,-66.716,-0.66716,0.19,0.19499399105173496,-66.7160000000001,-2.2275999999999954,False,False,False,1.0345426464294354,0.35
0.65,0.4,8,195,-121.27999999999999,-0.6219487179487179,0.2,0.20501532547962592,-122.37799999999983,100,-66.60279999999999,-0.6660279999999998,0.2,0.18610323589793726,-66.6028000000001,-2.114399999999989,False,False,False,1.032787291978092,0.35
0.6,0.0,7,195,-118.56079999999999,-0.6080041025641025,0.26666666666666666,0.14899884581593928,-118.56079999999986,100,-63.1388,-0.6313880000000001,0.28,0.1406974718550618,-63.138800000000096,1.3495999999999952,False,False,False,0.9790722052338096,0.35
0.6,0.0,5,195,-121.85559999999998,-0.6249005128205127,0.2205128205128205,0.1775893440454401,-121.85559999999981,100,-60.049600000000005,-0.600496,0.26,0.20533152651471046,-60.04960000000008,4.438799999999993,False,False,False,0.9311690164432674,0.35
0.65,0.0,8,195,-116.44879999999999,-0.5971733333333333,0.28205128205128205,0.14276039151482317,-116.44879999999982,100,-59.4212,-0.594212,0.31,0.15111601275443154,-59.42120000000009,5.0672,False,False,False,0.9214246283052456,0.35
0.75,0.4,4,195,-133.7804,-0.6860533333333333,0.14871794871794872,0.1735338888394667,-134.87839999999977,100,-70.96679999999998,-0.7096679999999997,0.15,0.18479564408298302,-70.96680000000008,-6.478399999999979,False,False,False,1.1004583770104388,0.3500000000000001
0.75,0.0,4,195,-127.49399999999997,-0.6538153846153845,0.1794871794871795,0.18065088301071952,-128.5919999999998,100,-67.03919999999998,-0.6703919999999998,0.19,0.19109420775998964,-67.0392000000001,-2.550799999999981,False,False,False,1.0395544004813266,0.3500000000000001
0.75,0.4,8,195,-121.27999999999999,-0.6219487179487179,0.2,0.20501532547962592,-122.37799999999983,100,-66.60279999999999,-0.6660279999999998,0.2,0.18610323589793726,-66.6028000000001,-2.114399999999989,False,False,False,1.032787291978092,0.3500000000000001
0.75,0.0,8,195,-117.52319999999999,-0.6026830769230769,0.27692307692307694,0.14145201116257328,-117.5231999999998,100,-59.4212,-0.594212,0.31,0.15111601275443154,-59.42120000000009,5.0672,False,False,False,0.9214246283052456,0.3500000000000001
0.6,0.4,4,195,-132.24599999999998,-0.6781846153846153,0.15384615384615385,0.1777075845945308,-133.34399999999977,100,-69.43239999999997,-0.6943239999999997,0.16,0.1927366247488653,-69.43240000000009,-4.943999999999974,False,False,False,1.0766649505957657,0.4
0.6,0.0,4,195,-125.95959999999998,-0.6459466666666666,0.18461538461538463,0.18504188675436536,-127.05759999999981,100,-65.50479999999999,-0.6550479999999999,0.2,0.19952096979176853,-65.5048000000001,-1.0163999999999902,False,False,False,1.0157609740666538,0.4
