mae_threshold,recovery_level,deadline,development_trades,triggered_trades,recovered_trades,failed_recovery_trades,development_win_rate,development_mean_R,development_total_R,development_delta_R,development_delta_mean_R,development_delta_win_rate,development_delta_max_DD_R,development_profit_factor,development_max_drawdown_R,development_positive_window_pct
0.7,-0.2,4,95,95,32,63,0.12631578947368421,-0.6039999999999999,-57.37999999999999,10.110000000000007,0.10642105263157897,-0.08421052631578946,12.429999999999986,0.04094935651011199,-56.61999999999998,0.1
0.6,-0.1,3,95,95,19,76,0.12631578947368421,-0.6041052631578947,-57.38999999999999,10.100000000000001,0.10631578947368414,-0.08421052631578946,12.419999999999987,0.02909829132126544,-56.62999999999998,0.1
0.75,0.2,5,95,95,17,78,0.22105263157894736,-0.6044210526315791,-57.42000000000001,10.069999999999986,0.10599999999999976,0.01052631578947369,11.689999999999962,0.10504987531172066,-57.36000000000001,0.2
0.6,-0.2,2,95,95,17,78,0.031578947368421054,-0.6047368421052631,-57.449999999999996,10.04,0.10568421052631571,-0.17894736842105263,12.319999999999965,0.009482758620689657,-56.730000000000004,0.0
0.75,0.3,3,95,95,6,89,0.14736842105263157,-0.6047368421052632,-57.45,10.039999999999992,0.1056842105263156,-0.06315789473684211,11.999999999999979,0.06737012987012987,-57.04999999999999,0.1
0.75,0.4,3,95,95,4,91,0.14736842105263157,-0.6047368421052632,-57.45,10.039999999999992,0.1056842105263156,-0.06315789473684211,11.999999999999979,0.06737012987012987,-57.04999999999999,0.1
0.7,0.2,10,95,95,29,66,0.3263157894736842,-0.6049473684210526,-57.47,10.019999999999996,0.10547368421052628,0.11578947368421055,11.26999999999996,0.16163384390955507,-57.78000000000001,0.2
0.8,0.0,5,95,89,24,65,0.28421052631578947,-0.6051578947368421,-57.49,9.999999999999993,0.10526315789473673,0.0736842105263158,11.54999999999999,0.10284019975031211,-57.49999999999998,0.2
0.8,-0.4,4,95,89,38,51,0.10526315789473684,-0.6054736842105263,-57.519999999999996,9.969999999999999,0.10494736842105257,-0.10526315789473684,12.319999999999958,0.06242868785656071,-56.73000000000001,0.1
0.75,-0.3,3,95,95,34,61,0.10526315789473684,-0.6055789473684211,-57.53,9.959999999999994,0.10484210526315774,-0.10526315789473684,12.279999999999966,0.03844225305030921,-56.77,0.1
0.6,-0.4,4,95,95,44,51,0.06315789473684211,-0.6055789473684211,-57.53,9.959999999999994,0.10484210526315774,-0.14736842105263157,12.309999999999953,0.02043248765537204,-56.740000000000016,0.1
0.6,-0.3,6,95,95,41,54,0.09473684210526316,-0.6056842105263158,-57.54,9.949999999999996,0.10473684210526302,-0.11578947368421051,12.669999999999959,0.023752969121140142,-56.38000000000001,0.1
0.7,-0.3,5,95,95,40,55,0.10526315789473684,-0.6058947368421053,-57.56,9.929999999999993,0.10452631578947358,-0.10526315789473684,12.499999999999964,0.03842298696959572,-56.550000000000004,0.1
0.7,0.3,10,95,95,23,72,0.2736842105263158,-0.6061052631578947,-57.58,9.909999999999997,0.10431578947368414,0.06315789473684214,11.159999999999968,0.1706755005041049,-57.89,0.1
0.8,0.3,10,95,89,20,69,0.29473684210526313,-0.606315789473684,-57.59999999999999,9.890000000000008,0.10410526315789481,0.08421052631578946,10.68999999999999,0.18413597733711046,-58.35999999999998,0.1
0.6,0.0,3,95,95,15,80,0.1368421052631579,-0.6066315789473684,-57.629999999999995,9.86,0.10378947368421043,-0.07368421052631577,12.179999999999978,0.03012453719286436,-56.86999999999999,0.1
0.7,0.1,6,95,95,22,73,0.24210526315789474,-0.6070526315789473,-57.66999999999999,9.820000000000007,0.10336842105263155,0.03157894736842107,11.569999999999972,0.10561414392059552,-57.48,0.2
0.7,0.1,8,95,95,27,68,0.28421052631578947,-0.6070526315789474,-57.67,9.819999999999993,0.10336842105263144,0.0736842105263158,11.63999999999998,0.13239055212877995,-57.40999999999999,0.2
0.7,0.0,12,95,95,38,57,0.37894736842105264,-0.6078947368421054,-57.75000000000001,9.739999999999988,0.10252631578947347,0.16842105263157897,11.139999999999972,0.11710747592111301,-57.91,0.2
0.8,0.2,10,95,89,26,63,0.3263157894736842,-0.6079999999999999,-57.759999999999984,9.730000000000011,0.10242105263157897,0.11578947368421055,10.479999999999983,0.17225566064775005,-58.569999999999986,0.2
0.8,0.0,6,95,89,24,65,0.28421052631578947,-0.608,-57.76,9.729999999999997,0.10242105263157886,0.0736842105263158,11.429999999999971,0.10240870240870241,-57.62,0.2
0.7,0.3,12,95,95,25,70,0.29473684210526313,-0.6081052631578948,-57.77,9.719999999999992,0.10231578947368403,0.08421052631578946,10.63999999999998,0.18530531659850522,-58.40999999999999,0.1
0.75,-0.2,4,95,95,31,64,0.12631578947368421,-0.6083157894736841,-57.78999999999999,9.700000000000003,0.1021052631578947,-0.08421052631578946,12.019999999999982,0.040670650730411685,-57.02999999999999,0.1
0.8,0.2,6,95,89,19,70,0.24210526315789474,-0.6084210526315789,-57.8,9.689999999999998,0.10199999999999998,0.03157894736842107,10.869999999999969,0.13148009015777612,-58.18,0.2
0.8,-0.1,6,95,89,28,61,0.25263157894736843,-0.6084210526315789,-57.8,9.689999999999998,0.10199999999999998,0.04210526315789476,11.389999999999972,0.09884627377611475,-57.66,0.2
0.7,-0.1,12,95,95,44,51,0.2631578947368421,-0.608421052631579,-57.800000000000004,9.68999999999999,0.10199999999999987,0.05263157894736842,11.089999999999975,0.08486383787207091,-57.959999999999994,0.2
0.6,0.3,3,95,95,3,92,0.1368421052631579,-0.6087368421052631,-57.83,9.659999999999997,0.10168421052631571,-0.07368421052631577,11.979999999999976,0.03745006657789614,-57.06999999999999,0.1
