side,hmm_state,zscore_threshold,horizon_bars,observations,mean_close_move,median_close_move,std_close_move,mean_mfe,median_mfe,mean_mae,median_mae,mfe_ge_5,mfe_ge_10,mfe_ge_20,mfe_ge_35,mfe_ge_50,mfe_ge_75,mfe_ge_100,mae_ge_5,mae_ge_10,mae_ge_20,mae_ge_35,mae_ge_50,mae_ge_75,mae_ge_100
LONG,2,3.0,30,2093,16816.880195891066,15314.5,6886.56955889549,43.58731485905399,24.5,46.95102723363593,25.25,0.8772097467749642,0.7634973721930244,0.5766841853798376,0.36884854276158624,0.25800286669851885,0.16961299569995222,0.11705685618729098,0.8609651218346871,0.745819397993311,0.5771619684663163,0.39990444338270426,0.2971810797897754,0.18681318681318682,0.1323459149546106
LONG,2,3.0,60,2093,16816.67259913999,15312.0,6886.985843045685,58.403487816531296,32.25,63.65336837075967,34.25,0.9116101290014333,0.8222646918299092,0.6698518872431916,0.47061634018155757,0.3387482083134257,0.2264691829909221,0.1610129001433349,0.8948877209746775,0.809842331581462,0.6665074056378404,0.4925943621595795,0.3932154801720019,0.26994744386048736,0.20066889632107024
LONG,2,3.0,120,2093,16816.399068322982,15311.25,6887.70137362044,79.7967032967033,44.5,86.02376970855232,48.0,0.9311992355470616,0.8652651696129957,0.7572861920688008,0.5828953655040612,0.45962732919254656,0.33349259436215956,0.24988055422838032,0.9240324892498806,0.8552317247969422,0.7353081700907788,0.5981844242713807,0.48877209746774963,0.3631151457238414,0.27759197324414714
SHORT,0,1.5,5,57761,15966.915017487361,14824.5,5728.013987097016,11.177951208532447,7.25,10.92979084424129,7.25,0.633264659545368,0.38254185349976627,0.14940877062377728,0.044874569346098576,0.017866726684094805,0.005903637402399543,0.0030989768182683817,0.633126157788127,0.3832516750056266,0.1463097938055089,0.040667578469901836,0.014923564342722599,0.004812936064126314,0.002718096985855508
SHORT,0,1.5,10,57761,15966.963929529911,14826.5,5727.997177567842,15.977902346117219,10.25,15.761444896545754,10.5,0.7243122522116999,0.509876906563252,0.2597254202662696,0.10354737625733626,0.046778968508162946,0.01630858191513305,0.007271342255154863,0.7344055677706411,0.5199702221221931,0.25984660930385556,0.09615484496459549,0.04208722148162255,0.01359048492927754,0.006751960665500944
SHORT,0,1.5,20,57761,15966.772159022043,14829.25,5727.521876193889,23.013596696275517,14.5,22.570814503142692,15.25,0.7959003479856651,0.6229982167898755,0.39164834403836496,0.20039473000813698,0.10477657935285054,0.042866293866103425,0.02022125655719257,0.8116549228718339,0.644933432592926,0.39654784370076696,0.18908952407333668,0.09629334672183654,0.03765516524990911,0.017607035889267843
SHORT,0,1.5,30,57761,15966.869452669125,14833.25,5727.488844152074,28.531924748497914,18.0,27.952166986996346,19.0,0.8309066671283392,0.682173092571112,0.46737417980990636,0.2680009002614221,0.15780543965651564,0.07248835719603193,0.0366337147902564,0.8485483284569173,0.7099253821782864,0.4838558889215907,0.2646422326483267,0.1486816363982618,0.06319142674122678,0.030643513789581207
SHORT,0,1.5,60,57761,15966.916607504632,14829.0,5727.750362889826,41.94526501705598,26.25,40.75677477446278,28.25,0.8779626391509843,0.7675421131905611,0.5946572947144267,0.4018455359152369,0.27504717716106025,0.1527501255172175,0.0909610290680563,0.8950676061702533,0.7970949256418691,0.6225480860788422,0.41401637783279377,0.27167119682830976,0.14044078184241962,0.07641834455774657
SHORT,0,1.5,120,57761,15968.602145417395,14836.75,5728.009647580003,64.09232740558605,39.0,61.91917888867725,42.5,0.9153408008864112,0.8336074513945396,0.6999013174979658,0.5361749277193955,0.4201970187496754,0.2812624435172521,0.19270788248125897,0.9298834853967209,0.8617059953948166,0.7391838783954572,0.570973494226208,0.434860892297571,0.27399110126209725,0.17723031110957221
SHORT,0,2.0,5,18981,15786.203040202328,14787.0,5693.563494902704,12.079284999209653,7.75,11.673151904736814,7.75,0.6521258100205468,0.40524735261577366,0.17053896001264424,0.057057057057057055,0.024024024024024024,0.007691902428744534,0.003898635477582846,0.6480164374901217,0.4093567251461988,0.16490174384911227,0.04983931299720774,0.01933512459828249,0.005479163373900216,0.003108371529424161
SHORT,0,2.0,10,18981,15785.590828854463,14783.125,5693.362460628269,17.207780061123405,10.75,16.692617767941826,11.0,0.7349454717875771,0.5257362625783678,0.2799641747010168,0.1241768083873347,0.060007375796849484,0.021442495126705652,0.0095358516411148,0.7436910594805332,0.5357462725883778,0.2804910173331226,0.11279700753384964,0.05005005005005005,0.015436489120699648,0.007481165375902218
SHORT,0,2.0,20,18981,15785.354402698003,14781.0,5693.291560688679,24.376376666491016,15.25,23.599778679454076,15.75,0.8023286444339076,0.6338970549496865,0.41056846320004214,0.22185343237974817,0.12343922870238659,0.050840313998208736,0.024129392550445182,0.8160792371318687,0.6551288130235499,0.4139929403087298,0.20509983667878404,0.10810810810810811,0.04325378009588536,0.01996733575680944
