window,direction,horizon_bars,quantile,mfe_points,mae_points,validation_start,validation_end
3,long_reversion,60,0.5,70.75,-129.25,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,long_reversion,60,0.75,184.75,-54.5,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,long_reversion,60,0.9,381.1,-20.0,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,short_reversion,1,0.1,0.5,-18.75,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,short_reversion,1,0.25,1.5,-10.25,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,short_reversion,1,0.5,4.0,-5.0,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,short_reversion,1,0.75,8.5,-1.75,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,short_reversion,1,0.9,17.0,-0.25,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,short_reversion,3,0.1,0.75,-35.5,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,short_reversion,3,0.25,2.5,-22.0,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,short_reversion,3,0.5,6.25,-11.5,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,short_reversion,3,0.75,15.0,-5.25,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,short_reversion,3,0.9,44.75,-1.75,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,short_reversion,5,0.1,0.75,-51.0,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,short_reversion,5,0.25,3.0,-31.25,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,short_reversion,5,0.5,8.0,-17.5,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,short_reversion,5,0.75,21.25,-8.25,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,short_reversion,5,0.9,77.80000000000018,-3.0,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,short_reversion,10,0.1,1.25,-82.75,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,short_reversion,10,0.25,4.25,-50.75,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,short_reversion,10,0.5,12.0,-29.25,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,short_reversion,10,0.75,45.75,-14.0,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,short_reversion,10,0.9,135.9000000000001,-5.0,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,short_reversion,20,0.1,1.75,-134.7,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,short_reversion,20,0.25,6.0,-83.5,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,short_reversion,20,0.5,21.75,-47.0,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,short_reversion,20,0.75,85.75,-23.0,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,short_reversion,20,0.9,249.85000000000014,-8.75,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,short_reversion,30,0.1,2.25,-172.0,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,short_reversion,30,0.25,7.125,-108.875,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,short_reversion,30,0.5,31.5,-61.25,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,short_reversion,30,0.75,135.375,-31.75,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,short_reversion,30,0.9,323.3000000000002,-12.549999999999955,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,short_reversion,60,0.1,3.25,-252.25,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,short_reversion,60,0.25,11.75,-175.875,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
3,short_reversion,60,0.5,66.25,-97.75,2021-11-06 09:30:00-04:00,2022-02-06 09:30:00-05:00
