target_points,horizon_bars,window,feature,gain,gain_normalized
1.0,5,5,vol_ratio_5_60,6.010689735412598,0.015243950185269793
1.0,5,5,variance_ratio_5_30,6.188106060028076,0.01569390280860319
1.0,5,5,variance_ratio_5_60,6.276580333709717,0.015918285945988382
1.0,5,5,rolling_range_5,7.139081001281738,0.018105708320124172
1.0,5,5,rolling_range_15,7.374168872833252,0.01870192405589553
1.0,5,5,rolling_range_30,10.018936157226562,0.025409423945199898
1.0,5,5,rolling_range_60,8.554427146911621,0.021695224180805092
1.0,5,5,atr_5,12.370436668395996,0.03137315826369449
1.0,5,5,atr_15,15.908303260803223,0.04034568296065989
1.0,5,5,atr_30,7.191233158111572,0.018237973486979236
1.0,5,5,atr_60,7.140920162200928,0.0181103726895508
1.0,5,5,normalized_range_5,6.725647449493408,0.017057182985128178
1.0,5,5,normalized_range_15,6.504312038421631,0.016495845413378972
1.0,5,5,normalized_range_30,6.542398929595947,0.016592439098518375
1.0,5,5,normalized_range_60,7.99705171585083,0.020281642099613088
1.0,5,5,vwap_distance,8.163433074951172,0.0207036085063867
1.0,5,5,vwap_distance_pct,6.578294277191162,0.016683474722500192
1.0,5,5,normalized_vwap_distance,6.500573635101318,0.016486364299480923
1.0,5,5,mean_distance_5,6.719831466674805,0.017042432838927347
1.0,5,5,mean_distance_15,13.60663890838623,0.03450834011384143
1.0,5,5,mean_distance_30,9.287943840026855,0.02355552514826884
1.0,5,5,mean_distance_60,5.118758678436279,0.012981888225701902
1.0,5,5,zscore_5,5.681473255157471,0.01440901112734244
