target_points,horizon_bars,window,observations,mean_realized_probability,mean_model_probability,baseline_probability,probability_lift,top_decile_lift,mean_future_mfe,median_future_mfe
20.0,120,15,1326,0.7911010558069381,0.7465486130361104,0.7421383647798742,0.00441024825623626,0.22778644725020103,81.66610105580693,53.25
20.0,120,16,1032,0.8381782945736435,0.8167952628329743,0.7450070696359138,0.07178819319706053,0.08191600728716308,82.7439437984496,51.5
20.0,120,17,1149,0.845082680591819,0.878291069320018,0.7490703177822853,0.12922075153773271,0.19875576917423643,127.27828546562228,94.5
20.0,120,18,841,0.83115338882283,0.7778628199548415,0.7535163019384999,0.02434651801634158,0.23471899217914716,90.28448275862068,64.75
20.0,120,19,935,0.8342245989304813,0.7968915676050645,0.756061432914945,0.040830134690119535,0.10564069474462945,93.51978609625668,57.25
20.0,120,20,1189,0.8763666947014298,0.8548854581441471,0.7588100342246794,0.09607542391946766,0.19917315905263155,114.91484440706476,81.5
20.0,120,21,1061,0.8774740810556079,0.9174262645332236,0.7638418892648858,0.1535843752683378,0.2268123163425908,171.42742695570217,100.25
25.0,5,1,1243,0.006436041834271922,0.0016197194176786475,0.014657980456026058,-0.013038261038347411,0.025342019543973943,4.992156074014481,3.75
25.0,5,2,1638,0.14041514041514042,0.019398515715253865,0.010522055847834885,0.00887645986741898,0.5077706270789945,13.238858363858364,7.5
25.0,5,3,1892,0.11997885835095137,0.07013948888513502,0.06230226332440983,0.007837225560725192,0.3903293156229586,13.344080338266386,9.5
25.0,5,4,1862,0.11976369495166488,0.10719488607639825,0.08048658556907182,0.026708300507326435,0.29919255881595497,12.679914070891515,9.75
25.0,5,5,1943,0.13226968605249614,0.11559423638571803,0.0897876128704057,0.025806623515312335,0.3614944384116456,12.969763252702007,8.75
25.0,5,6,1234,0.05834683954619125,0.04880891736121633,0.09820518050173363,-0.0493962631405173,0.08727869046600831,9.772487844408428,7.25
25.0,5,7,1320,0.1606060606060606,0.2002551620331801,0.09375,0.10650516203318011,0.2850378787878788,14.448295454545455,10.25
25.0,5,8,1884,0.2484076433121019,0.3033811073361465,0.10088996763754045,0.20249113969860605,0.40175553500796224,18.72213375796178,13.75
25.0,5,9,1357,0.18570375829034635,0.19327997272295772,0.12040157259196854,0.07287840013098917,0.32812783917273736,15.857774502579218,11.75
25.0,5,10,1376,0.16642441860465115,0.20275662832195954,0.12608166143195948,0.07667496689000006,0.2652226863941275,15.082848837209303,11.25
25.0,5,11,1154,0.13258232235701906,0.15694375979057165,0.12935147552571125,0.027592284264860406,0.10340714516394392,12.600086655112651,10.0
25.0,5,12,926,0.12526997840172785,0.12397727353277578,0.12955711212839888,-0.005579838595623096,0.2145289093769775,12.208963282937365,9.25
25.0,5,13,960,0.11458333333333333,0.10781095180009288,0.12934879571810884,-0.021537843918015956,0.22481787094855785,12.032552083333334,9.125
25.0,5,14,1289,0.13886733902249807,0.09970507117843941,0.12864065544287356,-0.028935584264434155,0.26670818176642874,13.668347556245152,10.0
