observations,wins,losses,win_rate,tp,sl,rr,horizon,expectancy_r,breakeven_wr,edge_vs_breakeven,context,side,hmm_state,vol_bucket,zscore,candidate,research_score
154,93,61,0.6038961038961039,6.0,6.0,1.0,10,0.20779220779220786,0.5,0.10389610389610393,B1,LONG,2,60-80,3.5,True,1.1568659401265269
861,446,415,0.5180023228803716,25.0,20.0,1.25,8,0.1655052264808361,0.4444444444444444,0.0735578784359272,A2,LONG,0,20-40,2.5,True,1.1388311303402747
154,85,69,0.551948051948052,9.0,7.5,1.2,10,0.2142857142857143,0.45454545454545453,0.09740259740259744,B1,LONG,2,60-80,3.5,True,1.1368759771905168
154,90,64,0.5844155844155844,8.0,7.5,1.0666666666666667,8,0.20779220779220775,0.48387096774193555,0.10054461667364883,B1,LONG,2,60-80,3.5,True,1.1364506588301757
5154,2594,2560,0.5032984090027164,25.0,20.0,1.25,12,0.1324214202561118,0.4444444444444444,0.058853964558271965,C1,LONG,0,40-60,2.0,True,1.135635013921737
2255,1147,1108,0.5086474501108648,25.0,20.0,1.25,7,0.14445676274944574,0.4444444444444444,0.06420300566642034,S1,SHORT,2,80-100,2.0,True,1.125046399352884
2255,1147,1108,0.5086474501108648,25.0,20.0,1.25,8,0.14445676274944574,0.4444444444444444,0.06420300566642034,S1,SHORT,2,80-100,2.0,True,1.125046399352884
154,86,68,0.5584415584415584,7.0,6.0,1.1666666666666667,12,0.2099567099567099,0.46153846153846145,0.09690309690309695,B1,LONG,2,60-80,3.5,True,1.1207847658909624
154,86,68,0.5584415584415584,7.0,6.0,1.1666666666666667,20,0.2099567099567099,0.46153846153846145,0.09690309690309695,B1,LONG,2,60-80,3.5,True,1.1207847658909624
247,125,122,0.5060728744939271,27.5,20.0,1.375,4,0.20192307692307687,0.42105263157894735,0.08502024291497978,S2,SHORT,0,20-40,3.0,True,1.1200493581385065
154,83,71,0.538961038961039,7.5,6.0,1.25,5,0.21266233766233766,0.4444444444444444,0.09451659451659455,B1,LONG,2,60-80,3.5,True,1.1143341040924628
372,186,186,0.5,27.5,20.0,1.375,10,0.1875,0.42105263157894735,0.07894736842105265,D2,LONG,1,20-40,3.0,True,1.1102959536832155
154,80,74,0.5194805194805194,8.0,6.0,1.3333333333333333,15,0.21212121212121193,0.4285714285714286,0.09090909090909083,B1,LONG,2,60-80,3.5,True,1.0906580487001667
154,80,74,0.5194805194805194,10.0,7.5,1.3333333333333333,20,0.21212121212121193,0.4285714285714286,0.09090909090909083,B1,LONG,2,60-80,3.5,True,1.0906580487001667
154,92,62,0.5974025974025974,5.0,5.0,1.0,20,0.19480519480519476,0.5,0.09740259740259738,B1,LONG,2,60-80,3.5,True,1.0781820434635088
