probability_decile,mean_probability,realized_probability,mean_future_mfe,observations,target_points,horizon_bars
0,0.14344464818583524,0.3946415640839971,20.479634322954382,2762,20.0,60
1,0.41360066897495207,0.586019558131112,33.355034407823254,2761,20.0,60
2,0.5602712816019414,0.639623324882289,38.15311481347338,2761,20.0,60
3,0.6478117415327302,0.6794639623324882,44.189061934081856,2761,20.0,60
4,0.7109140463602452,0.7026439695762405,48.898587468308584,2761,20.0,60
5,0.7625626471974374,0.7055414704817096,48.942683810213694,2761,20.0,60
6,0.8067102427717483,0.7167692864904021,55.1901484969214,2761,20.0,60
7,0.8483312375214772,0.7439333574791742,60.88745019920319,2761,20.0,60
8,0.8904446857168121,0.7888446215139442,72.03956899674031,2761,20.0,60
9,0.9430790195556621,0.8395508873596523,95.15782325244477,2761,20.0,60
0,0.2677174800116138,0.6039102099927589,33.728548153511944,2762,20.0,120
1,0.5865209440267937,0.7193045997826875,50.111825425570444,2761,20.0,120
2,0.7026160453938349,0.7428467946396233,59.61227816008692,2761,20.0,120
3,0.7677915119813948,0.7736327417602318,66.86979355306049,2761,20.0,120
4,0.8140185585232672,0.7946396233248822,73.16905106845346,2761,20.0,120
5,0.8509477959383833,0.7957261861644331,76.35195581311119,2761,20.0,120
6,0.8818548807671259,0.8160086925027165,82.1325606664252,2761,20.0,120
7,0.9091440540904024,0.8388265121332851,90.12622238319449,2761,20.0,120
8,0.9351937124280988,0.8384643245201014,101.54672220210068,2761,20.0,120
9,0.9667928767178379,0.8612821441506701,128.44856935892793,2761,20.0,120
0,0.0003271078577827942,0.010861694424330196,6.044170890658942,2762,25.0,5
1,0.0025345601132556145,0.030061571894241218,8.172401303875407,2761,25.0,5
2,0.009151009269995087,0.05106845345889171,10.036218761318363,2761,25.0,5
3,0.024892573970768363,0.0746106483158276,11.39514668598334,2761,25.0,5
4,0.053921886769348365,0.109380659181456,12.623777616805505,2761,25.0,5
5,0.10263235343782766,0.1383556682361463,13.982343353857297,2761,25.0,5
6,0.1753895469805936,0.2064469395146686,16.224284679463963,2761,25.0,5
7,0.2754091067628902,0.29264759145237235,20.294730170228178,2761,25.0,5
8,0.4196016608438212,0.38102136906917783,25.086019558131113,2761,25.0,5
9,0.664501536846679,0.5211879753712423,35.330405650126764,2761,25.0,5
0,0.0009807129516207383,0.021361332367849383,7.835897900072411,2762,25.0,10
1,0.010996005388245942,0.08438971387178558,11.470662803332125,2761,25.0,10
2,0.04729659438378804,0.12604128938790293,13.542375950742485,2761,25.0,10
3,0.10628476293406078,0.1778341180731619,16.141705903658096,2761,25.0,10
4,0.17442170292819079,0.2328866352770735,18.134462151394423,2761,25.0,10
5,0.25327518548882555,0.293009779065556,20.73877218399131,2761,25.0,10
6,0.3423831517262029,0.3556682361463238,23.278160086925027,2761,25.0,10
7,0.44776483654587307,0.42448388265121334,27.54798985874683,2761,25.0,10
8,0.5805755109512387,0.5186526620789569,34.24203187250996,2761,25.0,10
9,0.7764061605399262,0.6222383194494748,47.22428467946396,2761,25.0,10
0,0.009579745911655727,0.07675597393193338,11.097121650977552,2762,25.0,20
1,0.06578422688441576,0.18869974646867077,15.677381383556682,2761,25.0,20
2,0.15231838522560567,0.2799710249909453,20.173306772908365,2761,25.0,20
3,0.24817270350840506,0.3234335385729808,22.51122781600869,2761,25.0,20
4,0.3404988494743173,0.4020282506338283,26.518290474465772,2761,25.0,20
5,0.42838446503961836,0.43462513582035495,28.441687794277435,2761,25.0,20
6,0.5161997703420472,0.479536399855125,31.509779065555957,2761,25.0,20
7,0.6093513488510475,0.5385729808040565,37.88482433900761,2761,25.0,20
8,0.7172216380562139,0.6352770735240855,46.349239406012316,2761,25.0,20
9,0.8545628475650675,0.7084389713871786,61.99248460702644,2761,25.0,20
0,0.02327762537875195,0.1335988414192614,13.431752353367125,2762,25.0,30
1,0.13104451812023876,0.279246649764578,19.6128214415067,2761,25.0,30
2,0.2505829285254128,0.37993480622962694,24.553513219847883,2761,25.0,30
3,0.3593549540793278,0.42701919594349874,28.433538572980805,2761,25.0,30
4,0.4508118932336105,0.4965592176747555,32.49737413980442,2761,25.0,30
5,0.5338609910710744,0.5490764215863817,37.31981166244115,2761,25.0,30
6,0.6121634873563248,0.5240854762767113,37.41171676928649,2761,25.0,30
7,0.6925183485617287,0.6160811300253531,46.07433900760594,2761,25.0,30
8,0.7811732986879193,0.68163708801159,57.707261861644334,2761,25.0,30
9,0.8859494770838272,0.7356030423759508,70.27299891343716,2761,25.0,30
0,0.08228115530807328,0.30738595220854453,19.72003982621289,2762,25.0,60
1,0.31040099509295155,0.48026077508149223,31.33583846432452,2761,25.0,60
2,0.457269871366581,0.5516117348786671,38.15411082940963,2761,25.0,60
3,0.556723594212178,0.6041289387902934,43.36227816008692,2761,25.0,60
4,0.6309331283539976,0.6283955088735965,45.891524809851504,2761,25.0,60
5,0.6929280029306892,0.6421586381745744,51.03965954364361,2761,25.0,60
6,0.747306308963082,0.6711336472292647,53.460702643969576,2761,25.0,60
7,0.7997954618192504,0.6950380296993843,62.75380296993843,2761,25.0,60
8,0.8543541536560874,0.7276349148859109,71.87676566461427,2761,25.0,60
9,0.9266823563442762,0.7986236870699022,99.69865990583122,2761,25.0,60
0,0.16529554154387197,0.49131064446053585,31.436278059377262,2762,25.0,120
1,0.47285585896082005,0.6754798985874683,50.77354219485694,2761,25.0,120
2,0.6180419007620489,0.7037305324157914,60.23786671495835,2761,25.0,120
3,0.6981650884494277,0.7276349148859109,67.05188337558856,2761,25.0,120
4,0.7555627643695045,0.7446577327055415,72.00099601593625,2761,25.0,120
5,0.8015869663746967,0.7566099239406012,77.81021369069178,2761,25.0,120
6,0.8404144971148771,0.7696486780152119,82.64333574791742,2761,25.0,120
7,0.8773117100834112,0.7801521187975371,88.62749003984064,2761,25.0,120
8,0.9127216439279945,0.8015211879753712,96.23098515030786,2761,25.0,120
9,0.9555058908911556,0.8344802607750815,135.2857660268019,2761,25.0,120
0,0.00011435155129842575,0.006154960173787111,7.089880521361333,2762,35.0,5
1,0.00047228448770515963,0.01195219123505976,8.672944585295182,2761,35.0,5
2,0.0013668254656280022,0.014125316914161535,9.858294096341906,2761,35.0,5
3,0.0032991222805845827,0.02390438247011952,10.60820354943861,2761,35.0,5
4,0.007724548402292622,0.03513219847881202,11.889532777978992,2761,35.0,5
5,0.018397689302482603,0.04961970300615719,14.146052155016298,2761,35.0,5
6,0.041563857372408974,0.07388627308946034,15.758058674393336,2761,35.0,5
7,0.09221311436668551,0.12640347700108656,18.93073161897863,2761,35.0,5
8,0.2129242005759674,0.24447663889894966,25.219757334299167,2761,35.0,5
9,0.5063776990094507,0.39116262223831944,37.01566461427019,2761,35.0,5
0,0.0001971565014352526,0.007603186097031137,8.340514120202752,2762,35.0,10
1,0.0015844180759412535,0.030785947120608476,11.697301702281782,2761,35.0,10
2,0.006466299660651607,0.038754074610648316,13.201195219123505,2761,35.0,10
3,0.01897494686981316,0.07388627308946034,15.499728359290112,2761,35.0,10
4,0.04489254920714059,0.09996378123868163,17.837287214777255,2761,35.0,10
5,0.0883774315693464,0.141615356754799,20.059670409272,2761,35.0,10
6,0.1526692038194851,0.20572256428830135,23.577689243027887,2761,35.0,10
