side,hmm_state,vol_bucket,zscore,observations,tp,sl,rr,horizon,win_rate,expectancy_r,breakeven_wr,wr_edge_vs_breakeven,wr_ge_50,positive_expectancy,sufficient_sample,candidate,research_score
LONG,1,80-100,3.5,213,15.0,10.0,1.5,60,0.4037558685446009,0.00938967136150215,0.4,0.00375586854460086,False,True,True,False,0.2057276995305163
LONG,1,80-100,3.5,213,15.0,10.0,1.5,120,0.4037558685446009,0.00938967136150215,0.4,0.00375586854460086,False,True,True,False,0.2057276995305163
LONG,0,80-100,2.5,922,15.0,10.0,1.5,120,0.403470715835141,0.008676789587852451,0.4,0.0034707158351409695,False,True,True,False,0.20529284164859002
LONG,0,20-40,3.0,236,10.0,5.0,2.0,60,0.3559322033898305,0.06779661016949146,0.3333333333333333,0.02259887005649719,False,True,True,False,0.20508474576271185
LONG,0,20-40,3.0,236,10.0,5.0,2.0,120,0.3559322033898305,0.06779661016949146,0.3333333333333333,0.02259887005649719,False,True,True,False,0.20508474576271185
LONG,1,20-40,2.0,2573,30.0,15.0,2.0,120,0.3556160124368441,0.06684803731053235,0.3333333333333333,0.022282679103510783,False,True,True,False,0.204547221142635
SHORT,0,80-100,1.5,10840,5.0,5.0,1.0,120,0.4662361623616236,-0.06752767527675285,0.5,-0.033763837638376426,False,False,True,False,0.20441881918819182
SHORT,2,80-100,1.5,4737,15.0,10.0,1.5,120,0.4027865737808739,0.006966434452184811,0.4,0.00278657378087388,False,True,True,False,0.2042495250158327
LONG,0,40-60,2.5,792,15.0,10.0,1.5,60,0.4027777777777778,0.006944444444444531,0.4,0.002777777777777768,False,True,True,False,0.20423611111111115
LONG,0,20-40,2.0,3191,20.0,10.0,2.0,120,0.3553744907552491,0.06612347226574722,0.3333333333333333,0.022041157421915758,False,True,True,False,0.20413663428392342
SHORT,0,80-100,1.5,10840,5.0,5.0,1.0,60,0.4658671586715867,-0.06826568265682664,0.5,-0.03413284132841332,False,False,True,False,0.203920664206642
SHORT,0,80-100,2.0,3644,5.0,5.0,1.0,10,0.4656970362239298,-0.06860592755214046,0.5,-0.03430296377607023,False,False,True,False,0.2036909989023052
SHORT,0,40-60,3.0,179,15.0,10.0,1.5,60,0.4022346368715084,0.005586592178770999,0.4,0.0022346368715083775,False,True,True,False,0.2034078212290503
SHORT,0,0-20,1.5,13687,5.0,5.0,1.0,120,0.4653320669248191,-0.0693358661503618,0.5,-0.0346679330751809,False,False,True,False,0.20319829034850578
LONG,0,20-40,1.5,8519,15.0,10.0,1.5,60,0.4019251085808193,0.004812771452048281,0.4,0.0019251085808192903,False,True,True,False,0.20293579058574945
SHORT,0,80-100,1.5,10840,5.0,5.0,1.0,30,0.4651291512915129,-0.06974169741697422,0.5,-0.03487084870848711,False,False,True,False,0.20292435424354238
SHORT,0,20-40,1.5,10677,5.0,5.0,1.0,30,0.4651119228247635,-0.06977615435047296,0.5,-0.03488807717523651,False,False,True,False,0.20290109581343074
LONG,0,40-60,1.5,8453,15.0,10.0,1.5,120,0.4018691588785046,0.004672897196261516,0.4,0.0018691588785045843,False,True,True,False,0.2028504672897195
LONG,1,20-40,1.5,5554,30.0,15.0,2.0,120,0.3543392149801944,0.06301764494058315,0.3333333333333333,0.02100588164686107,False,True,True,False,0.20237666546633046
SHORT,0,20-40,3.0,175,10.0,5.0,2.0,120,0.3542857142857142,0.06285714285714261,0.3333333333333333,0.02095238095238089,False,True,True,False,0.20228571428571415
SHORT,2,80-100,1.5,4737,5.0,5.0,1.0,120,0.4646400675533038,-0.07071986489339244,0.5,-0.03535993244669622,False,False,True,False,0.20226409119696012
LONG,1,0-20,3.5,172,15.0,10.0,1.5,60,0.4011627906976744,0.0029069767441860517,0.4,0.0011627906976743874,False,True,True,False,0.2017732558139535
LONG,1,0-20,3.5,172,15.0,10.0,1.5,120,0.4011627906976744,0.0029069767441860517,0.4,0.0011627906976743874,False,True,True,False,0.2017732558139535
SHORT,1,20-40,3.5,130,20.0,10.0,2.0,10,0.3538461538461538,0.06153846153846143,0.3333333333333333,0.020512820512820495,False,True,True,False,0.2015384615384615
LONG,0,20-40,2.5,877,20.0,10.0,2.0,60,0.3534777651083238,0.06043329532497144,0.3333333333333333,0.02014443177499048,False,True,True,False,0.20091220068415047
SHORT,2,80-100,1.5,4737,5.0,5.0,1.0,60,0.4635845471817606,-0.07283090563647882,0.5,-0.03641545281823938,False,False,True,False,0.2008391386953768
LONG,1,20-40,1.5,5554,15.0,10.0,1.5,120,0.4004321209938782,0.0010803024846954834,0.4,0.00043212099387818226,False,True,True,False,0.20065898451566427
LONG,1,20-40,2.0,2573,15.0,10.0,1.5,30,0.4003109211037699,0.0007773027594247806,0.4,0.0003109211037699011,False,True,True,False,0.20047415468324914
LONG,1,20-40,1.5,5554,15.0,10.0,1.5,60,0.4002520705797623,0.0006301764494057727,0.4,0.00025207057976228686,False,True,True,False,0.2003844076341375
SHORT,0,20-40,2.5,784,5.0,5.0,1.0,60,0.4630102040816326,-0.07397959183673475,0.5,-0.036989795918367374,False,False,True,False,0.20006377551020404
SHORT,0,20-40,2.5,784,5.0,5.0,1.0,120,0.4630102040816326,-0.07397959183673475,0.5,-0.036989795918367374,False,False,True,False,0.20006377551020404
SHORT,0,0-20,1.5,13687,5.0,5.0,1.0,60,0.4625557097976182,-0.07488858040476365,0.5,-0.037444290202381825,False,False,True,False,0.19945020822678455
SHORT,0,80-100,1.5,10840,5.0,5.0,1.0,20,0.4625461254612546,-0.07490774907749076,0.5,-0.03745387453874538,False,False,True,False,0.19943726937269374
LONG,0,80-100,2.0,3477,30.0,15.0,2.0,120,0.3526028185217141,0.05780845556514225,0.3333333333333333,0.019269485188380786,False,True,True,False,0.19942479148691397
LONG,0,0-20,2.0,4136,5.0,5.0,1.0,120,0.4625241779497098,-0.07495164410058042,0.5,-0.03747582205029021,False,False,True,False,0.19940764023210822
SHORT,2,40-60,1.5,4669,15.0,10.0,1.5,120,0.3994431355750696,-0.0013921610623259806,0.4,-0.0005568644249304144,False,False,True,False,0.19915078175198114
