target_points,horizon_bars,window,probability_decile,observations,mean_probability,realized_probability,mean_future_mfe
1.0,5,22,3,23,0.96441144,1.0,19.73913043478261
1.0,5,22,4,24,0.969687,1.0,19.3125
1.0,5,22,5,23,0.97528726,1.0,13.130434782608695
1.0,5,22,6,23,0.9793951,0.8695652173913043,29.33695652173913
1.0,5,22,7,24,0.98293096,0.9583333333333334,13.03125
1.0,5,22,8,23,0.9872263,1.0,32.81521739130435
1.0,5,22,9,24,0.9922187,1.0,36.114583333333336
1.0,10,1,0,124,0.8988451,0.9435483870967742,15.078629032258064
1.0,10,1,1,124,0.92668486,0.9193548387096774,10.421370967741936
1.0,10,1,2,124,0.938499,0.9193548387096774,10.03225806451613
1.0,10,1,3,124,0.946038,0.8951612903225806,11.502016129032258
1.0,10,1,4,124,0.9519886,0.9838709677419355,13.122983870967742
1.0,10,1,5,123,0.95689523,0.9512195121951219,14.052845528455284
1.0,10,1,6,124,0.96270734,0.9274193548387096,13.955645161290322
1.0,10,1,7,124,0.9684793,0.9596774193548387,14.97983870967742
1.0,10,1,8,124,0.9739874,0.9919354838709677,19.598790322580644
1.0,10,1,9,124,0.9829046,0.9838709677419355,22.358870967741936
1.0,10,2,0,99,0.88348067,0.9191919191919192,11.598484848484848
1.0,10,2,1,99,0.92305326,0.9696969696969697,12.964646464646465
1.0,10,2,2,99,0.9364587,0.9595959595959596,12.184343434343434
1.0,10,2,3,99,0.9457784,0.9696969696969697,11.805555555555555
1.0,10,2,4,99,0.95151126,0.9696969696969697,11.863636363636363
1.0,10,2,5,99,0.95696163,0.9393939393939394,12.404040404040405
1.0,10,2,6,99,0.96134615,0.9393939393939394,12.255050505050505
1.0,10,2,7,99,0.9664852,0.898989898989899,12.25
1.0,10,2,8,99,0.9735374,0.9696969696969697,16.467171717171716
1.0,10,2,9,99,0.9832471,0.9797979797979798,18.939393939393938
1.0,10,3,0,147,0.9261938,0.9319727891156463,16.302721088435373
1.0,10,3,1,147,0.9548532,0.9591836734693877,18.3078231292517
1.0,10,3,2,147,0.9642439,0.9727891156462585,17.904761904761905
1.0,10,3,3,146,0.97071505,0.9726027397260274,21.10958904109589
1.0,10,3,4,147,0.9759727,0.9795918367346939,24.772108843537413
1.0,10,3,5,147,0.98092633,0.9659863945578231,26.624149659863946
1.0,10,3,6,146,0.9842614,0.9863013698630136,28.30308219178082
1.0,10,3,7,147,0.9872966,0.9863945578231292,30.715986394557824
1.0,10,3,8,147,0.99006724,0.9863945578231292,29.04591836734694
