tp,sl,rr,horizon,observations,wins,losses,ambiguous,unresolved,resolved,win_rate_resolved,resolved_rate,ambiguous_rate,expectancy_resolved_r,expectancy_all_r,score,side,hmm_state,vol_bucket,zscore
5.0,2.173913043478261,2.3,16,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,17,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,18,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,19,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,20,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,21,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,22,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,23,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,24,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,25,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,26,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,27,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,28,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,29,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,30,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,31,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,32,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,33,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,34,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,35,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,36,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,37,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,38,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,39,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,40,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,41,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,42,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,43,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,44,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,45,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,46,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,47,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,48,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,49,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,50,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,51,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,52,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,53,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,54,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,55,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,56,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,57,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,58,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,59,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,60,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,61,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
5.0,2.173913043478261,2.3,62,372,186,186,0,0,372,0.5,1.0,0.0,0.6499999999999999,0.6499999999999999,0.336396194984426,LONG,1,20-40,3.0
