side,zscore_threshold,stop_points,target_points,horizon_bars,window,trades,wins,losses,timeouts,win_rate,total_points,mean_result_points,profit_factor,mean_mfe,median_mfe,mean_mae,median_mae,mean_holding_bars
LONG,1.5,5.0,25.0,10,5,5313,607,4048,658,0.1142480707698099,888.25,0.1671842634677887,1.0437184692998647,17.65062141418457,12.5,17.573545455932617,12.5,3.570111048371918
LONG,1.5,5.0,25.0,10,6,5490,611,4196,683,0.11129326047358834,98.5,0.017941711470484734,1.00468016867613,19.24171257019043,13.25,19.137203216552734,13.125,3.473224043715847
LONG,1.5,5.0,25.0,10,7,4930,320,3108,1502,0.06490872210953347,1904.5,0.38630831241607666,1.1203228404908945,11.989198684692383,8.25,11.137170791625977,7.25,5.242190669371197
LONG,1.5,5.0,25.0,10,8,5121,609,3758,754,0.11892208553016989,2309.25,0.45093733072280884,1.1221825396825398,18.850566864013672,13.5,19.648212432861328,12.75,3.60730326108182
LONG,1.5,5.0,25.0,10,9,5751,742,4809,200,0.12902103981916188,-3971.25,-0.6905320882797241,0.8349987535316603,27.179750442504883,18.5,27.784168243408203,21.5,2.19509650495566
LONG,1.5,5.0,25.0,10,10,5231,668,4099,464,0.12770024851844772,199.75,0.03818581625819206,1.0097235067906343,20.917415618896484,14.5,20.87349510192871,14.75,3.039762951634487
LONG,1.5,5.0,25.0,10,11,5317,663,4030,624,0.12469437652811736,1857.0,0.34925711154937744,1.091806844726792,18.622907638549805,13.75,20.01335334777832,13.75,3.3889411322174157
LONG,1.5,5.0,25.0,10,12,4878,467,3610,801,0.09573595735957359,311.0,0.06375563889741898,1.0171234290905586,16.566011428833008,12.0,17.207975387573242,11.5,3.8489134891348913
LONG,1.5,5.0,25.0,10,13,5103,507,3764,832,0.0993533215755438,283.5,0.0555555559694767,1.0149226234340456,15.427444458007812,11.5,15.71644115447998,11.5,3.9122085048010975
LONG,1.5,5.0,25.0,10,14,5048,492,3614,942,0.09746434231378764,1187.25,0.23519214987754822,1.0649613569523289,15.675267219543457,11.25,16.325326919555664,10.5,4.17987321711569
LONG,1.5,5.0,25.0,10,15,4933,548,3766,619,0.1110885870666937,90.25,0.018295155838131905,1.004772543990693,17.319988250732422,13.0,19.30316162109375,12.75,3.4905736874113114
LONG,1.5,5.0,25.0,10,16,5114,642,3914,558,0.1255377395385217,709.25,0.13868790864944458,1.0360808353152144,22.545072555541992,15.0,23.43243980407715,15.0,3.100508408290966
LONG,1.5,5.0,25.0,10,17,5131,663,4041,427,0.12921457805496003,-161.25,-0.031426623463630676,0.9920430293235958,22.76471519470215,16.0,22.623075485229492,14.5,3.009160007795751
LONG,1.5,5.0,25.0,10,18,5490,702,4550,238,0.12786885245901639,-3343.0,-0.6089253425598145,0.8531840140535792,34.03943634033203,21.75,35.419673919677734,23.75,2.0814207650273224
LONG,1.5,5.0,25.0,10,19,5091,565,3988,538,0.11098016106855235,-1005.5,-0.1975053995847702,0.9497055108854682,21.837753295898438,15.25,23.548860549926758,14.5,3.1098016106855235
LONG,1.5,5.0,25.0,10,20,4945,652,3811,482,0.13185035389282104,1010.25,0.20429727435112,1.0527959237000262,28.60394287109375,18.5,28.523862838745117,16.25,2.916076845298281
LONG,1.5,5.0,25.0,10,21,5433,770,4408,255,0.1417264862875023,-619.0,-0.11393336951732635,0.9719544656510166,30.8399600982666,20.0,30.235551834106445,20.0,2.335726118166759
LONG,1.5,5.0,25.0,10,22,5382,743,4488,151,0.1380527684875511,-2497.75,-0.46409326791763306,0.8888146985833361,38.880062103271484,25.0,38.30537033081055,23.75,1.9734299516908214
LONG,1.5,5.0,35.0,10,1,5266,61,2843,2362,0.011583744777819977,221.25,0.04201481118798256,1.0148370439914163,7.957842826843262,5.5,8.342906951904297,5.5,6.5300037979491075
