condition,condition_value,horizon_bars,mean_window_return,median_window_return,min_window_return,max_window_return,positive_window_ratio
zscore_60,1.5:2.0,5,4.0110436725548365e-06,1.1488002757498053e-05,-9.28077969841188e-05,7.461394669759603e-05,0.5909090909090909
zscore_60,1.5:2.0,10,8.050957235801826e-06,1.776529963619673e-05,-0.0001703774355733,0.0001058901905934,0.6818181818181818
zscore_60,1.5:2.0,20,3.0107949929979862e-05,4.670252492720397e-05,-0.0002788843498324,0.0002364182899096,0.7272727272727273
zscore_60,1.5:2.0,30,4.846342110736074e-05,7.943053620804687e-05,-0.0003632931377958,0.0003590601282125,0.7272727272727273
zscore_60,1.5:2.0,60,6.246762900972554e-05,0.00012702893217155,-0.0006949208070821,0.0003886382638468,0.6363636363636364
zscore_60,2.0:2.5,1,1.5965683585370817e-06,1.7444779116160306e-06,-4.918751181373901e-05,4.405929277753017e-05,0.5454545454545454
zscore_60,2.0:2.5,3,7.244430366084412e-06,1.1132736982622432e-05,-4.681886730572759e-05,9.828916828653336e-05,0.6363636363636364
zscore_60,2.0:2.5,5,5.553522034334533e-06,5.527269276212252e-06,-7.221656544692289e-05,0.0001245192186178,0.5
zscore_60,2.0:2.5,10,5.697364146520372e-06,2.0326063141296907e-05,-0.0001859675303659,0.0001984907771021,0.6818181818181818
zscore_60,2.0:2.5,20,-7.741394947805933e-06,3.3227576733692435e-07,-0.0003229331411482,0.0002150624153911,0.5
zscore_60,2.0:2.5,30,5.449459518191824e-06,1.9804779862434608e-05,-0.0004726335400309,0.0002833646374632,0.5909090909090909
zscore_60,2.0:2.5,60,4.9533501184690735e-05,6.83396693706568e-05,-0.0005673718992439,0.0004744037956129,0.5909090909090909
zscore_60,<=-2.5,1,6.1608088902019295e-06,9.89575884631205e-06,-5.5828849463309706e-05,6.471227009204744e-05,0.5909090909090909
zscore_60,<=-2.5,3,1.7799351693603175e-05,3.416478516460664e-05,-0.0001067471479178,0.0001923368907846,0.5909090909090909
zscore_60,<=-2.5,5,3.355324170030836e-05,4.908334560470107e-05,-0.0002298959855039,0.0002473869647325,0.6363636363636364
zscore_60,<=-2.5,10,2.5828975652085114e-05,5.5485247327086154e-05,-0.0004122901213185,0.0003318785270006,0.5909090909090909
zscore_60,<=-2.5,20,5.875340256518193e-06,-4.482905510014977e-07,-0.0006470906756375,0.0004667736448849,0.5
zscore_60,<=-2.5,30,-4.300317202555728e-05,-3.204071563693332e-05,-0.0008933693594318,0.0007067241917823,0.5
