target_points,horizon_bars,window,observations,baseline_probability,mean_model_probability,realized_probability,probability_lift_vs_baseline,top_decile_realized_probability,top_decile_lift_vs_baseline,mean_future_mfe
1.0,20,6,1369,0.9717685487634158,0.97824866,0.9700511322132944,-0.0017174165501213645,0.9708029197080292,-0.0009656290553865521,28.60682980277575
1.0,20,7,1207,0.963353692393115,0.9706352,0.9602319801159901,-0.0031217122771248773,0.9752066115702479,0.011852919177132937,23.568558409279206
1.0,20,8,1306,0.9613577023498695,0.9707028,0.9670750382848392,0.005717335934969703,0.9694656488549618,0.008107946505092278,22.561638591117916
1.0,20,9,1008,0.9617700968840011,0.9689573,0.9623015873015873,0.0005314904175862667,1.0,0.03822990311599894,23.90203373015873
1.0,20,10,897,0.9698233562315997,0.966295,0.9643255295429208,-0.00549782668867882,0.9666666666666667,-0.0031566895649329796,23.26923076923077
1.0,20,11,1085,0.9565217391304348,0.95999986,0.9529953917050691,-0.003526347425365728,0.9724770642201835,0.01595532508974873,21.892857142857142
1.0,20,12,1208,0.9709424083769633,0.96001226,0.9660596026490066,-0.0048828057279567405,0.9752066115702479,0.004264203193284577,25.270902317880793
1.0,20,13,1287,0.9783560937902602,0.9639059,0.9813519813519813,0.002995887561721089,1.0,0.02164390620973977,26.74184149184149
1.0,20,14,1246,0.9800982800982802,0.97492796,0.9847512038523274,0.0046529237540472446,1.0,0.01990171990171985,41.40830658105939
1.0,20,15,1000,0.9843497031840259,0.9758138,0.989,0.004650296815974064,0.99,0.005650296815974065,33.011
1.0,20,16,1131,0.9819798173954829,0.9872665,0.9805481874447391,-0.0014316299507437513,0.9911504424778761,0.009170625082393191,52.547524314765695
1.0,20,17,998,0.9756535110199898,0.9789024,0.9709418837675351,-0.004711627252454664,0.99,0.01434648898001023,35.29634268537074
