trades,win_rate,mean_R,total_R,profit_factor,max_drawdown_R,longest_losing_streak,average_holding_bars,profitable_days,losing_days,daily_sharpe,window,tail_percent,rr,horizon,probability_threshold,model,auc
24,0.625,0.46875000000000006,11.250000000000002,2.2500000000000004,-2.3000000000000007,2,3.0416666666666665,11,5,3.81620845370504,1,9.999999999999998,1.35,15,0.6,xgboost,0.5270197966827179
305,0.4918032786885246,0.08975409836065575,27.375000000000004,1.1816824290691887,-8.175,6,3.0295081967213116,23,21,2.836190794515259,1,12.5,1.2,10,0.0,baseline,0.44420046499612503
105,0.37142857142857144,-0.18285714285714286,-19.2,0.7090909090909093,-21.600000000000016,6,2.4571428571428573,11,22,-3.247522804286022,1,12.5,1.2,10,0.5,xgboost,0.44420046499612503
91,0.3516483516483517,-0.22637362637362635,-20.599999999999998,0.6508474576271186,-20.800000000000015,6,2.5384615384615383,10,23,-3.493340491660774,1,12.5,1.2,10,0.52,xgboost,0.44420046499612503
75,0.36,-0.20799999999999996,-15.599999999999998,0.6749999999999999,-15.800000000000004,5,2.44,11,19,-2.9409502459677515,1,12.5,1.2,10,0.54,xgboost,0.44420046499612503
66,0.3787878787878788,-0.16666666666666666,-11.0,0.7317073170731706,-11.400000000000002,4,2.303030303030303,10,18,-2.4371369583592806,1,12.5,1.2,10,0.56,xgboost,0.44420046499612503
60,0.36666666666666664,-0.19333333333333338,-11.600000000000003,0.694736842105263,-12.000000000000002,4,2.3333333333333335,9,18,-2.748187636405644,1,12.5,1.2,10,0.58,xgboost,0.44420046499612503
49,0.3673469387755102,-0.1918367346938776,-9.400000000000002,0.696774193548387,-10.799999999999997,6,2.36734693877551,8,16,-2.097527581626655,1,12.5,1.2,10,0.6,xgboost,0.44420046499612503
304,0.5,0.09440789473684212,28.700000000000003,1.1906343407505808,-8.375,6,3.101973684210526,24,20,2.9179638473950473,1,12.5,1.2,12,0.0,baseline,0.45664890159885607
101,0.4158415841584158,-0.08514851485148517,-8.600000000000001,0.8542372881355933,-12.999999999999996,5,2.603960396039604,13,21,-1.3872132098709469,1,12.5,1.2,12,0.5,xgboost,0.45664890159885607
95,0.4105263157894737,-0.09684210526315792,-9.200000000000003,0.8357142857142861,-14.399999999999997,5,2.642105263157895,12,21,-1.505065107358071,1,12.5,1.2,12,0.52,xgboost,0.45664890159885607
79,0.3924050632911392,-0.13670886075949368,-10.8,0.7750000000000002,-13.599999999999998,7,2.518987341772152,12,20,-1.8649822712630286,1,12.5,1.2,12,0.54,xgboost,0.45664890159885607
63,0.3492063492063492,-0.23174603174603176,-14.600000000000001,0.6439024390243901,-16.599999999999998,7,2.5714285714285716,10,21,-2.551512658079592,1,12.5,1.2,12,0.56,xgboost,0.45664890159885607
52,0.38461538461538464,-0.15384615384615383,-7.999999999999999,0.7499999999999999,-12.799999999999997,7,2.673076923076923,10,17,-1.4251425488952223,1,12.5,1.2,12,0.58,xgboost,0.45664890159885607
46,0.391304347826087,-0.1391304347826087,-6.4,0.7714285714285714,-9.999999999999998,7,2.652173913043478,10,15,-1.1682609080698247,1,12.5,1.2,12,0.6,xgboost,0.45664890159885607
303,0.49834983498349833,0.0905940594059406,27.450000000000003,1.181863354037267,-9.0,6,3.1716171617161715,25,19,2.7819951169130426,1,12.5,1.2,15,0.0,baseline,0.46220575414123805
108,0.4537037037037037,-0.001851851851851841,-0.19999999999999885,0.9966101694915255,-13.0,6,2.8425925925925926,19,15,-0.03335349011925389,1,12.5,1.2,15,0.5,xgboost,0.46220575414123805
96,0.4270833333333333,-0.06041666666666667,-5.8,0.8945454545454546,-13.200000000000001,5,2.8229166666666665,16,17,-0.9997810595498934,1,12.5,1.2,15,0.52,xgboost,0.46220575414123805
