trades,win_rate,mean_R,total_R,profit_factor,max_drawdown_R,losing_streak,daily_sharpe,window,quantile,barrier,horizon
443,0.6636568848758465,0.016252821670428894,7.2,1.052989880404784,-12.987499999999999,5,0.832845516764268,4,0.75,0.50R,15
442,0.5429864253393665,0.01166289592760181,5.155,1.039585333077366,-10.310000000000002,6,0.7781339289948285,4,0.75,0.67R,5
402,0.5621890547263682,-0.0110634328358209,-4.447500000000002,0.9693064182194617,-15.15,5,-0.5336257711215325,4,0.75,0.67R,10
387,0.5813953488372093,-0.00963178294573644,-3.7275000000000027,0.9746083106267031,-19.922500000000007,5,-0.4269658223060036,4,0.75,0.67R,15
430,0.5255813953488372,0.024970930232558145,10.737500000000002,1.0842900598567364,-8.3,8,1.8225177525917835,4,0.75,0.75R,5
392,0.5408163265306123,-0.006441326530612253,-2.525000000000003,0.9829564630442121,-14.1375,5,-0.31835451408829774,4,0.75,0.75R,10
377,0.5649867374005305,0.00351458885941645,1.3250000000000015,1.0088695506652163,-17.5125,5,0.1550423406449327,4,0.75,0.75R,15
408,0.4877450980392157,0.025796568627450982,10.525,1.0837477620847422,-10.362499999999997,8,1.4026154403652697,4,0.75,1.00R,5
355,0.504225352112676,0.028591549295774645,10.149999999999999,1.0703152060962937,-11.275000000000002,5,1.237922610174005,4,0.75,1.00R,10
340,0.5176470588235295,0.028713235294117644,9.7625,1.0660241778679516,-12.6375,6,1.0538728346561859,4,0.75,1.00R,15
394,0.631979695431472,0.014657360406091372,5.775,1.0542444522719268,-13.149999999999999,4,0.7980459643163414,4,0.8,0.50R,5
371,0.6738544474393531,0.04962938005390835,18.412499999999998,1.1801614481409002,-10.399999999999997,4,2.368862197074034,4,0.8,0.50R,10
367,0.6839237057220708,0.04564032697547684,16.75,1.1570373842728232,-12.85,4,2.1566882471604085,4,0.8,0.50R,15
356,0.5730337078651685,0.007162921348314613,2.5500000000000025,1.0231240081614146,-12.454999999999998,5,0.3790543868674583,4,0.8,0.67R,5
327,0.5871559633027523,0.0329434250764526,10.7725,1.097290584782118,-10.307500000000001,5,1.4531530277618314,4,0.8,0.67R,10
320,0.59375,0.01584375000000001,5.070000000000003,1.042897937599154,-14.340000000000003,5,0.6322471444717365,4,0.8,0.67R,15
340,0.5617647058823529,0.02466911764705882,8.3875,1.08005249343832,-10.712499999999999,6,1.3909470397693853,4,0.8,0.75R,5
308,0.577922077922078,0.06225649350649351,19.175,1.1826190476190477,-7.424999999999997,5,2.9526039027159166,4,0.8,0.75R,10
301,0.5913621262458472,0.053363787375415285,16.0625,1.1438164521544487,-10.125,5,2.2230072139505452,4,0.8,0.75R,15
324,0.5246913580246914,0.04633487654320988,15.0125,1.1445072795090843,-10.150000000000002,6,2.098101297843355,4,0.8,1.00R,5
282,0.5283687943262412,0.0826241134751773,23.299999999999997,1.215217642304584,-7.849999999999998,5,3.1895733486067743,4,0.8,1.00R,10
273,0.5311355311355311,0.06785714285714285,18.525,1.159543546129831,-10.037500000000001,5,2.2626949642360787,4,0.8,1.00R,15
272,0.6507352941176471,0.02591911764705882,7.05,1.0964762230585017,-8.9375,5,1.1774924205981308,4,0.85,0.50R,5
259,0.6833976833976834,0.055212355212355214,14.3,1.2024420456556364,-7.5124999999999975,5,2.6624722505389364,4,0.85,0.50R,10
254,0.6811023622047244,0.04729330708661418,12.012500000000001,1.1632965165675446,-7.387500000000001,5,2.1721375863028722,4,0.85,0.50R,15
246,0.5853658536585366,0.020193089430894314,4.967500000000001,1.064987735077678,-10.530000000000001,6,0.8322681312127267,4,0.85,0.67R,5
231,0.6103896103896104,0.052294372294372296,12.08,1.1584262295081968,-6.9925000000000015,5,2.118579627970446,4,0.85,0.67R,10
226,0.6061946902654868,0.04711283185840708,10.6475,1.1341417322834646,-8.987500000000002,6,1.7348726237783685,4,0.85,0.67R,15
239,0.5690376569037657,0.0323744769874477,7.737500000000001,1.1027044964327193,-10.1375,6,1.2412137679917488,4,0.85,0.75R,5
222,0.6036036036036037,0.08811936936936937,19.5625,1.2696416264645072,-6.5124999999999975,5,3.116284925485891,4,0.85,0.75R,10
214,0.602803738317757,0.0879088785046729,18.8125,1.2519671856688432,-7.537500000000001,6,2.9996387656056274,4,0.85,0.75R,15
230,0.5521739130434783,0.07364130434782609,16.9375,1.227234613449606,-7.0875,6,2.683797527355416,4,0.85,1.00R,5
209,0.5598086124401914,0.12894736842105262,26.95,1.3613205966147146,-5.0875,5,4.083709508229775,4,0.85,1.00R,10
197,0.5431472081218274,0.11199238578680203,22.0625,1.2823548232282833,-5.412500000000001,6,3.2762764638505426,4,0.85,1.00R,15
